Volatility 3 Framework 2.28.1

EntryType	Path	Company	LastModifyTime	LastModifyTime2	InstallTime	CompileTime	SHA1	Service	ProductName	ProductVersion

Driver	c:/windows/system32/drivers/1394ohci.sys	Microsoft Corporation	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2088-10-29 18:20:44.000000 UTC	cabc55b4b36a990e0a1f770aa82bf7727cd193f1	1394ohci	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/3ware.sys	LSI	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2015-05-18 22:28:03.000000 UTC	243529b8cf13464c11afe4487ce7503d6ede32c9	3ware	LSI 3ware RAID Controller	N/A
Driver	c:/windows/system32/drivers/acpi.sys	Microsoft Corporation	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2098-12-10 13:09:50.000000 UTC	934c93ee85dce6f839da6a0dac94c9080d1c71d3	acpi	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/acpidev.sys	Microsoft Corporation	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2025-01-26 07:33:56.000000 UTC	274bb3c6bd770092366378e277f38302183d2a78	acpidev	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/acpiex.sys	Microsoft Corporation	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2046-04-18 05:33:55.000000 UTC	6c0b84f663109fc953a86fbd6e525d6693e4f1bf	acpiex	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/acpipagr.sys	Microsoft Corporation	2021-09-15 07:21:13.000000 UTC	N/A	N/A	2080-03-08 13:26:48.000000 UTC	361110c8c7c2efb5046e15d2643e36edaa476a31	acpipagr	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/acpipmi.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2069-12-08 09:37:31.000000 UTC	8078e3241fe83d56f767797f6164dc307e5162ea	acpipmi	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/acpitime.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2024-05-24 19:08:47.000000 UTC	c6c18b5d9bc75af1dc0254bdfc300847ac9c4797	acpitime	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/adp80xx.sys	PMC-Sierra	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2015-04-09 20:49:48.000000 UTC	7abf039d1865d2dabc28f1b15400aae43e1f524	adp80xx	PMC-Sierra HBA Controller	N/A
Driver	c:/windows/system32/drivers/afd.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2062-09-13 11:37:16.000000 UTC	7d8a1e75e63491f57267195f2463db74d110eb48	afd	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/agilevpn.sys	Microsoft Corporation	2021-09-15 07:21:16.000000 UTC	N/A	N/A	2070-12-02 10:24:46.000000 UTC	25ee4285e4c5e53aa05aeb707b593d05e8409435	rasagilevpn	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/ahcache.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2084-12-28 16:34:53.000000 UTC	8a88b9bf931d8055a19e42983935b6cea88f89e0	ahcache	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/amdk8.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2004-10-14 01:37:11.000000 UTC	858bf9feb7f94f0e10051f0872455a67dbf1ff5b	amdk8	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/amdppm.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2089-10-18 00:52:51.000000 UTC	4951e61e07af194b151e88f1161c46f54fdbab0a	amdppm	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/amdsata.sys	Advanced Micro Devices	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2015-05-14 12:14:52.000000 UTC	b56914b71a4a50b0b89e66b2ce204054f5210bf5	amdsata	AHCI 1.3 Device Driver	N/A
Driver	c:/windows/system32/drivers/amdsbs.sys	AMD Technologies Inc.	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2012-12-11 21:21:44.000000 UTC	5d6c527eff7c6317b2687023ee2bcadc997ca80a	amdsbs	AMD Technology AHCI Compatible Controller	N/A
Driver	c:/windows/system32/drivers/amdxata.sys	Advanced Micro Devices	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2015-05-01 00:55:35.000000 UTC	9012e1fc86af57146d75b7e1bb72d935f9bd11a7	amdxata	Storage Filter Driver	N/A
Driver	c:/windows/system32/drivers/appid.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2067-01-19 14:48:08.000000 UTC	975ac4ad9c98af3d8d64a9df1b2e44c2065b4652	appid	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/applockerfltr.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	1976-03-05 15:34:53.000000 UTC	99d2772a25b56abe57c8605baaeaf27f750ab72e	applockerfltr	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/appvstrm.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2071-06-04 05:26:36.000000 UTC	e1089d574cf0e7e3f117c0a591f862f1c1ef5c4b	appvstrm	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/appvvemgr.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2032-08-02 22:45:11.000000 UTC	6dbc3f0009a2a288b4515877531b18af1fc92307	appvvemgr	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/appvvfs.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2040-11-28 08:01:19.000000 UTC	b89087a4fed68beb8b3a42a1e0e7df49fc01e6f6	appvvfs	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/arcsas.sys	PMC-Sierra, Inc.	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2015-04-09 19:12:07.000000 UTC	4d030e8b6667467b769521d6d35378b603b35125	arcsas	Adaptec RAID Controller	N/A
Driver	c:/windows/system32/drivers/asyncmac.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2043-07-02 16:09:43.000000 UTC	6698fc5b77c30e523eb86dc34d06c0019db9c7d2	asyncmac	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/atapi.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2083-07-25 10:48:01.000000 UTC	6129a9c54785a1812c639fc0f05a56b76fb918cd	atapi	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bam.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2033-12-12 07:22:28.000000 UTC	e68f6c186949a459a4ce355c81db6e28c5a84e8d	bam	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/basicdisplay.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2081-06-02 02:36:52.000000 UTC	ebffd2edbd7b7b51f1f263ad945ea19fe00a81e1	basicdisplay	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/basicrender.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2028-08-15 02:53:38.000000 UTC	db0f85b68e8e7dd49036d0098a7ff9db92684a63	basicrender	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bcmfn2.sys	Windows (R) Win 7 DDK provider	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2016-11-01 02:09:15.000000 UTC	8e830af8cddacee01d44747352ab62418665248d	bcmfn2	Windows (R) Win 7 DDK driver	N/A
Driver	c:/windows/system32/drivers/bowser.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2058-11-28 09:39:13.000000 UTC	fca601b90607450fac8d734fbc46551ef8ca8b34	bowser	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bridge.sys	Microsoft Corporation	2021-09-15 07:21:15.000000 UTC	N/A	N/A	2083-03-24 14:41:16.000000 UTC	f9fd24c07967f980fcf934bdd928ceb05c9114fa	msbridge	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bthavrcptg.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	1990-05-01 15:03:47.000000 UTC	fc0d09caa0c054e3327efff57417d4d3886659d0	bthavrcptg	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bthhfenum.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2040-03-04 07:51:40.000000 UTC	ed502086d866c0744bebc48814f48fb1a42078bb	bthhfenum	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bthhfhid.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	1983-11-10 08:36:07.000000 UTC	46828c56159c8e98e570d0844a68c4c1883ed2df	bthhfhid	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bthmodem.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2011-09-26 00:05:56.000000 UTC	5ecb2a71311100458360114f597a7c0de291b567	bthmodem	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bttflt.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2060-11-01 14:40:27.000000 UTC	c7a399681f2d1e577f8875776b202cd1d7c99d9f	bttflt	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/buttonconverter.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2078-12-05 11:36:43.000000 UTC	8ea523b0d67ab2e4f3ce065be161561724b29f97	buttonconverter	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/bxvbda.sys	QLogic Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2016-05-25 07:03:08.000000 UTC	4382299668d4d2262dec12c105b7dfb5ab6e0f87	b06bdrv	QLogic Gigabit Ethernet	N/A
Driver	c:/windows/system32/drivers/cad.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2092-05-28 23:17:36.000000 UTC	fdf53c761949da31c55684d286d3540e51cfa949	cad	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/capimg.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2032-10-23 00:04:15.000000 UTC	7bf03d90106aa5e2f17c2d402e1f64542c6d8912	capimg	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/cdfs.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2051-04-28 23:01:05.000000 UTC	b0f9de317934b903bfebdad3e2ffe4f81f8e7b58	cdfs	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/cdrom.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	1980-09-16 15:12:48.000000 UTC	adf31ae1ce9428d9b8ab81aa99c1b7a4e2cba317	cdrom	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/cht4sx64.sys	Chelsio Communications	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2017-04-24 05:22:26.000000 UTC	384a5af76c1695b54e45ccbbcb54c989d8f43b5f	cht4iscsi	Chelsio Communications iSCSI Controller	N/A
Driver	c:/windows/system32/drivers/cht4vx64.sys	Chelsio Communications	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2017-04-24 05:19:44.000000 UTC	b01e21bed93e5726f32aaf1a1c3eea7381d2011c	cht4vbd	Chelsio Communications Unified Network I/O Controller	N/A
Driver	c:/windows/system32/drivers/circlass.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2053-08-30 01:51:58.000000 UTC	69e674a6d70eeb1285d6b3aa10131915f7c2c2bc	circlass	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/cldflt.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2066-03-30 09:16:41.000000 UTC	3ab275a128a8cb01b808b8f5016781443f625057	cldflt	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/clfs.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2072-12-13 12:29:12.000000 UTC	b2fe6671cf30221d7af1bae07c68ad48a882102a	clfs	Microsoft® Windows® Operating System	N/A
Driver	c:/windows/system32/drivers/cmbatt.sys	Microsoft Corporation	2021-09-15 07:21:14.000000 UTC	N/A	N/A	2079-08-19 04:25:26.000000 UTC	d1dadc499e8dc5a9983e11cd3bee0b21f81b575c	cmbatt	Microsoft® Windows® Operating System	N/A
