Volatility 3 Framework 2.28.1

Offset	Name

0xc08eaa84d470	\Windows\System32\en-US\wmitomi.dll.mui
0xc08eaa84d900	\Windows\System32\winevt\Logs\Microsoft-Windows-Ntfs%4WHC.evtx
0xc08eaa850910	\$Extend:$I30:$INDEX_ALLOCATION
0xc08eaa856250	\Windows\System32\TimeBrokerClient.dll
0xc08eaa85a870	\Windows\System32\winevt\Logs\Microsoft-Windows-Partition%4Diagnostic.evtx
0xc08eaa871ef0	\Windows\System32\powrprof.dll
0xc08eaa872cc0	\Windows\System32\ntdll.dll
0xc08eaa875640	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000004
0xc08eaa875b50	\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION
0xc08eaa875ef0	\$Directory
0xc08eaa878990	\$Directory
0xc08eaa878b00	\Windows\System32\drivers\crashdmp.sys
0xc08eaa87bef0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\Mso20win32client.dll
0xc08eaa8b7ef0	\Windows\System32\drivers\filecrypt.sys
0xc08eaa8bd250	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0xc08eaa8d0c00	\Endpoint
0xc08eaa8d2780	\Endpoint
0xc08eaa8d4b50	\Endpoint
0xc08eaa8d5560	\Windows\System32\samcli.dll
0xc08eaa8d6580	\CMNotify
0xc08eaa8d9d30	\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx
0xc08eaa8e0a70	\Windows\System32\davhlpr.dll
0xc08eaa8e71c0	\Windows\System32\svchost.exe
0xc08eaa8e7ef0	\Windows\System32\winevt\Logs\Microsoft-Windows-Ntfs%4Operational.evtx
0xc08eaa907d60	\$MapAttributeValue
0xc08eaa90a1b0	\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-WHEA%4Operational.evtx
0xc08eaa90b600	\Windows\System32\dhcpcsvc6.dll
0xc08eaa90c3f0	\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx
0xc08eaa913c60	\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe
0xc08eaa913df0	\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx
0xc08eaa918570	\Windows\System32\drivers\srv2.sys
0xc08eaa919ef0	\Program Files (x86)\Microsoft Office\root\Licenses16\HomeStudentR_OEM_Perp-pl.xrm-ms
0xc08eaa9248a0	\CMNotify
0xc08eaa928c50	\Windows\System32\WPTaskScheduler.dll
0xc08eaa92a540	\Windows\System32\winevt\Logs\Microsoft-Windows-Win32k%4Operational.evtx
0xc08eaa92a940	\Windows\System32\samlib.dll
0xc08eaa92aad0	\CMNotify
0xc08eaa932b00	\Windows\System32\wshhyperv.dll
0xc08eaa933ef0	\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Admin.evtx
0xc08eaa936de0	\Windows\System32\winevt\Logs\Microsoft-Windows-TaskScheduler%4Maintenance.evtx
0xc08eaa939a50	\Windows\System32\nlasvc.dll
0xc08eaa93ae90	\Windows\System32\dhcpcsvc.dll
0xc08eaa93fb40	\Windows\System32\winevt\Logs\Microsoft-Windows-TaskScheduler%4Operational.evtx
0xc08eaa948080	\Windows\System32\wermgr.exe
0xc08eaa94bef0	\Endpoint
0xc08eaa94f300	\Endpoint
0xc08eaa951330	\Windows\System32\ssdpapi.dll
0xc08eaa952dd0	\Windows\System32
0xc08eaa954a50	\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Operational.evtx
0xc08eaa955d60	\Windows\System32\BFE.DLL
0xc08eaa959730	\Windows\System32\ncsi.dll
0xc08eaaa2b2c0	\Boot\BCD
0xc08eaaa2d7a0	\Windows\System32\sxshared.dll
0xc08eaaa2f6d0	\Windows\ShellExperiences\NetworkUX.dll
0xc08eaaa31b80	\$MapAttributeValue
0xc08eaaa31cf0	\$MapAttributeValue
