Volatility 3 Framework 2.28.1

Offset	Base	Size	Name	Path	File output

0xc08eaa8660b0	0xf80383a03000	0x8d2000	ntoskrnl.exe	\SystemRoot\system32\ntoskrnl.exe	Disabled
0xc08eaa865010	0xf803842d5000	0x7f000	hal.dll	\SystemRoot\system32\hal.dll	Disabled
0xc08eaa865e80	0xf80384400000	0xb000	kdcom.dll	\SystemRoot\system32\kd.dll	Disabled
0xc08eaa865cd0	0xf80cd86a0000	0xf7000	mcupdate.dll	\SystemRoot\system32\mcupdate_GenuineIntel.dll	Disabled
0xc08eaa865b30	0xf80cd8400000	0x61000	msrpc.sys	\SystemRoot\System32\drivers\msrpc.sys	Disabled
0xc08eaa865990	0xf80cd8470000	0x29000	ksecdd.sys	\SystemRoot\System32\drivers\ksecdd.sys	Disabled
0xc08eaa865800	0xf80cd84a0000	0x11000	werkernel.sys	\SystemRoot\System32\drivers\werkernel.sys	Disabled
0xc08eaa865670	0xf80cd84c0000	0x62000	CLFS.SYS	\SystemRoot\System32\drivers\CLFS.SYS	Disabled
0xc08eaa8654f0	0xf80cd8530000	0x24000	tm.sys	\SystemRoot\System32\drivers\tm.sys	Disabled
0xc08eaa865360	0xf80cd8560000	0x17000	PSHED.dll	\SystemRoot\system32\PSHED.dll	Disabled
0xc08eaa8651e0	0xf80cd8580000	0xb000	BOOTVID.dll	\SystemRoot\system32\BOOTVID.dll	Disabled
0xc08eaa864010	0xf80cd8590000	0x68000	FLTMGR.SYS	\SystemRoot\System32\drivers\FLTMGR.SYS	Disabled
0xc08eaa864e40	0xf80cd9320000	0x101000	clipsp.sys	\SystemRoot\System32\drivers\clipsp.sys	Disabled
0xc08eaa864cb0	0xf80cd9430000	0xe000	cmimcext.sys	\SystemRoot\System32\drivers\cmimcext.sys	Disabled
0xc08eaa864b20	0xf80cd9440000	0xc000	ntosext.sys	\SystemRoot\System32\drivers\ntosext.sys	Disabled
0xc08eaa864980	0xf80cd9450000	0xb2000	CI.dll	\SystemRoot\system32\CI.dll	Disabled
0xc08eaa8647f0	0xf80cd9510000	0xaa000	cng.sys	\SystemRoot\System32\drivers\cng.sys	Disabled
0xc08eaa864650	0xf80cd8800000	0xe3000	Wdf01000.sys	\SystemRoot\system32\drivers\Wdf01000.sys	Disabled
0xc08eaa8644c0	0xf80cd88f0000	0x13000	WDFLDR.SYS	\SystemRoot\system32\drivers\WDFLDR.SYS	Disabled
0xc08eaa864330	0xf80cd8910000	0xe000	WppRecorder.sys	\SystemRoot\system32\drivers\WppRecorder.sys	Disabled
0xc08eaa863010	0xf80cd8920000	0xf000	SleepStudyHelper.sys	\SystemRoot\system32\drivers\SleepStudyHelper.sys	Disabled
0xc08eaa863e80	0xf80cd8930000	0x23000	acpiex.sys	\SystemRoot\System32\Drivers\acpiex.sys	Disabled
0xc08eaa863cf0	0xf80cd8960000	0x4b000	mssecflt.sys	\SystemRoot\system32\drivers\mssecflt.sys	Disabled
0xc08eaa863b50	0xf80cd89b0000	0xb9000	ACPI.sys	\SystemRoot\System32\drivers\ACPI.sys	Disabled
0xc08eaa8639c0	0xf80cd8a70000	0xc000	WMILIB.SYS	\SystemRoot\System32\drivers\WMILIB.SYS	Disabled
0xc08eaa8636b0	0xf80cd8ab0000	0x25000	intelpep.sys	\SystemRoot\System32\drivers\intelpep.sys	Disabled
0xc08eaa863510	0xf80cd8ae0000	0x16000	WindowsTrustedRT.sys	\SystemRoot\system32\drivers\WindowsTrustedRT.sys	Disabled
0xc08eaa863360	0xf80cd8b00000	0xb000	WindowsTrustedRTProxy.sys	\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys	Disabled
0xc08eaa8631d0	0xf80cd8b10000	0x14000	pcw.sys	\SystemRoot\System32\drivers\pcw.sys	Disabled
0xc08eaa862010	0xf80cd8b30000	0xb000	msisadrv.sys	\SystemRoot\System32\drivers\msisadrv.sys	Disabled
0xc08eaa862e80	0xf80cd8b40000	0x5d000	pci.sys	\SystemRoot\System32\drivers\pci.sys	Disabled
0xc08eaa862cf0	0xf80cd8ba0000	0x12000	vdrvroot.sys	\SystemRoot\System32\drivers\vdrvroot.sys	Disabled
