Volatility 3 Framework 2.28.1

PID	Process	Value	Privilege	Attributes	Description

4	System	2	SeCreateTokenPrivilege	Present	Create a token object
4	System	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
4	System	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
4	System	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
4	System	6	SeMachineAccountPrivilege		Add workstations to the domain
4	System	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
4	System	8	SeSecurityPrivilege	Present	Manage auditing and security log
4	System	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
4	System	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
4	System	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
4	System	12	SeSystemtimePrivilege	Present	Change the system time
4	System	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
4	System	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
4	System	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
4	System	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
4	System	17	SeBackupPrivilege	Present	Backup files and directories
4	System	18	SeRestorePrivilege	Present	Restore files and directories
4	System	19	SeShutdownPrivilege	Present	Shut down the system
4	System	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
4	System	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
4	System	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
4	System	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
4	System	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
4	System	25	SeUndockPrivilege	Present	Remove computer from docking station
4	System	26	SeSyncAgentPrivilege		Synch directory service data
4	System	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
4	System	28	SeManageVolumePrivilege	Present	Manage the files on a volume
4	System	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
4	System	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
4	System	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
4	System	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
4	System	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
4	System	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
4	System	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
4	System	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
392	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
392	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
392	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
392	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
392	smss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
392	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
392	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
392	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
392	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
392	smss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
392	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
392	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
