Volatility 3 Framework 2.28.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0xc08eaa8ed480	0x4	Process	0x1fffff	System Pid 4
4	System	0xc08eaa96e040	0x8	Thread	0x1fffff	Tid 28 Pid 4
4	System	0xc08eaa973a10	0xc	Mutant	0x1f0001	BcdSyncMutant
4	System	0xaf8849e24b20	0x10	Directory	0xf000f	-
4	System	0xaf8849e1ed30	0x14	Directory	0xf000f	GLOBAL??
4	System	0xc08eaa8589f0	0x18	Partition	0x1f0003	MemoryPartition0
4	System	0xaf8849e2e490	0x1c	Directory	0xf000f	KernelObjects
4	System	0xc08eaa96d200	0x20	Event	0x1f0003	LowPagedPoolCondition
4	System	0xc08eaa96cfe0	0x24	Event	0x1f0003	HighPagedPoolCondition
4	System	0xc08eaa96cf60	0x28	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0xc08eaa96cee0	0x2c	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0xc08eaa96ce60	0x30	Event	0x1f0003	LowMemoryCondition
4	System	0xc08eaa96cde0	0x34	Event	0x1f0003	HighMemoryCondition
4	System	0xc08eaa96cd60	0x38	Event	0x1f0003	LowCommitCondition
4	System	0xc08eaa96cce0	0x3c	Event	0x1f0003	HighCommitCondition
4	System	0xc08eaa96cc60	0x40	Event	0x1f0003	MaximumCommitCondition
4	System	0xc08eaa96cbe0	0x44	Event	0x1f0003	MemoryErrors
4	System	0xc08eaa96cb60	0x48	Event	0x1f0003	PhysicalMemoryChange
4	System	0xc08eaa966040	0x4c	Thread	0x1fffff	Tid 72 Pid 4
4	System	0xaf8849e2e1e0	0x50	Key	0x0	-
4	System	0xaf8849ee31e0	0x54	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xaf8849e41ba0	0x58	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xaf8849ee4990	0x60	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0xc08eaa95fe20	0x64	ALPC Port	0x1f0001	PowerPort
4	System	0xc08eaa95fbd0	0x68	ALPC Port	0x1f0001	PowerMonitorPort
4	System	0xaf8849ede600	0x6c	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xaf884b381ab0	0x70	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xaf884b3bad10	0x74	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0xaf884b3c3050	0x78	Key	0xf003f	MACHINE\SYSTEM\DRIVERDATABASE
4	System	0xaf884b3bab10	0x7c	Key	0xf003f	MACHINE\SYSTEM
4	System	0xaf884b3c3f70	0x80	Key	0xf003f	USER
4	System	0xc08eaa963b70	0x84	Event	0x1f0003	-
4	System	0xaf884b3c37f0	0x88	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xaf884b3c3c00	0x8c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0xaf884b3ff050	0x90	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS
4	System	0xaf884b3ff210	0x94	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0xaf884b40e6c0	0x98	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0xaf884b4c9050	0x9c	Key	0x2	MACHINE\SYSTEM\RNG
4	System	0xaf884bea1ab0	0xa0	Key	0x2	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0128
4	System	0xaf884c17f3f0	0xa4	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00#3&18d45aa6&0&78#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}
4	System	0xaf884b6b5b60	0xa8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 3
4	System	0xaf884b456f70	0xac	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0xaf884b4e0ac0	0xb0	Token	0xe	-
4	System	0xaf884b4d4c70	0xb4	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG\{3D624D56-CE21-59DD-1348-2212B1112D6F}\PRODUCTIDS
4	System	0xaf884b509330	0xb8	SymbolicLink	0xf0001	ACPI#FixedButton#2&daba3ff&1#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
4	System	0xc08ead6839a0	0xbc	File	0x140003	\Device\HarddiskVolume2\pagefile.sys
4	System	0xaf884b3c7b60	0xc0	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 2
4	System	0xaf884b6a57a0	0xc4	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_07E0&SUBSYS_07E015AD&REV_00#4&b70f118&0&0888#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0xaf884b69f210	0xc8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 1
4	System	0xaf884b6b5340	0xcc	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xaf884ba66700	0xd0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
4	System	0xc08ead6ecbb0	0xd4	Event	0x1f0003	-
4	System	0xc08eaca054f0	0xd8	File	0x1	\Device\mfehidk
4	System	0xaf884ba65c20	0xdc	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xaf884b5ffa70	0xe0	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xc08eac4e95d0	0xe4	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0xc08eac8c6040	0xe8	Thread	0x1fffff	Tid 384 Pid 4
4	System	0xaf884b6367e0	0xec	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\USERSETTINGS
4	System	0xaf884ba6f600	0xf0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
4	System	0xaf884ba71050	0xf4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{498B1B9F-8618-4E6C-9AD1-6A759BFBFB23}
4	System	0xaf884b5e8160	0xf8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS
4	System	0xc08ead6b6a10	0xfc	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\win32kbase.sys.mui
4	System	0xc08eacaef4a0	0x100	File	0x100001	\Device\KsecDD
4	System	0xc08eac8956b0	0x104	File	0x120116	\Device\Mup
4	System	0xc08ead4a6850	0x108	File	0x3	\Device\HarddiskVolume1\Boot\BCD.LOG
4	System	0xc08ead6423b0	0x10c	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\SOFTWARE
4	System	0xc08ead3c57a0	0x110	Event	0x1f0003	-
4	System	0xc08ead6ecb30	0x114	Event	0x1f0003	-
4	System	0xaf8852a58700	0x118	Key	0xf003f	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NOTIFICATIONS
4	System	0xc08ead6a65c0	0x11c	Process	0x102a	csrss.exe Pid 552
4	System	0xc08eac973040	0x120	Process	0x1fffff	smss.exe Pid 392
4	System	0xaf884bac84d0	0x124	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
4	System	0xc08ead7934a0	0x128	File	0x10003	\Device\HarddiskVolume2\Windows\System32\config\RegBack\DEFAULT
4	System	0xc08ead783080	0x12c	Thread	0x1fffff	Tid 596 Pid 4
4	System	0xc08ead6a85b0	0x130	File	0x20003	\Device\HarddiskVolume2\Windows\System32\config\DEFAULT
4	System	0xaf884b5f1050	0x134	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xaf884ba719e0	0x138	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
4	System	0xaf884ba60740	0x13c	Section	0x6	-
4	System	0xaf884c17f2a0	0x140	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00#3&18d45aa6&0&78#{5b45201d-f2f2-4f3b-85bb-30ff1f953599}
4	System	0xc08eac624050	0x144	TmRm	0x12007f	-
4	System	0xc08eaab25ab0	0x148	TmTm	0xf003f	-
4	System	0xc08eac6258c0	0x14c	TmRm	0x1f007f	-
4	System	0xc08eaab256d0	0x150	File	0x12019f	\Device\clfsKtmLog
4	System	0xc08eaab25960	0x154	File	0x13019f	\Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc08eac627b80	0x158	File	0x12019f	\Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc08eaa875640	0x15c	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000004
4	System	0xc08eac3e7c40	0x160	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xc08eb010bf90	0x164	WaitCompletionPacket	0x1	-
4	System	0xaf884ba71370	0x168	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}
4	System	0xaf884b614880	0x16c	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 0
4	System	0xaf884b607cc0	0x170	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 0\SCSI BUS 0
4	System	0xaf884b529640	0x178	SymbolicLink	0xf0001	ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
4	System	0xaf884b511550	0x17c	SymbolicLink	0xf0001	ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xaf884b61bf50	0x180	SymbolicLink	0xf0001	ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
4	System	0xc08eac0b5e20	0x184	ALPC Port	0x1f0001	PdcPort
4	System	0xaf884b61ed40	0x188	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
4	System	0xaf884b613990	0x18c	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\{7E01ADEF-81E6-4E1B-8075-56F373584694}
4	System	0xaf884b69d050	0x190	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
4	System	0xaf884b542410	0x194	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
