Volatility 3 Framework 2.28.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xc08eaa8ed480	139	-	N/A	False	2021-02-03 21:51:29.000000 UTC	N/A	Disabled
2092	776	svchost.exe	0xc08eaa923080	3	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
3456	876	WmiPrvSE.exe	0xc08eaaae45c0	11	-	0	False	2021-02-03 21:51:41.000000 UTC	N/A	Disabled
52092	776	svchost.exe	0xc08eaaf4b5c0	0	-	0	False	2021-03-22 18:42:27.000000 UTC	2021-03-24 07:07:29.000000 UTC	Disabled
28252	776	svchost.exe	0xc08eab875380	0	-	0	False	2021-03-07 16:08:22.000000 UTC	2021-03-08 17:41:39.000000 UTC	Disabled
392	4	smss.exe	0xc08eac973040	2	-	N/A	False	2021-02-03 21:51:30.000000 UTC	N/A	Disabled
109452	776	svchost.exe	0xc08eace36080	0	-	0	False	2021-05-15 14:05:52.000000 UTC	2021-05-16 16:10:38.000000 UTC	Disabled
145604	776	svchost.exe	0xc08eacf36440	0	-	0	False	2021-06-20 18:04:11.000000 UTC	2021-07-04 16:25:48.000000 UTC	Disabled
114980	776	svchost.exe	0xc08ead009080	0	-	0	False	2021-05-21 13:46:09.000000 UTC	2021-05-22 17:15:37.000000 UTC	Disabled
99236	776	svchost.exe	0xc08ead21a5c0	0	-	0	False	2021-05-05 11:53:14.000000 UTC	2021-05-06 15:57:16.000000 UTC	Disabled
87496	776	svchost.exe	0xc08ead376240	0	-	0	False	2021-04-30 09:11:28.000000 UTC	2021-05-01 12:24:51.000000 UTC	Disabled
540	392	smss.exe	0xc08ead694080	0	-	0	False	2021-02-03 21:51:35.000000 UTC	2021-02-03 21:51:35.000000 UTC	Disabled
552	540	csrss.exe	0xc08ead6a65c0	11	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
22388	22160	AppVShNotify.e	0xc08ead91d080	1	-	0	False	2021-02-21 13:27:19.000000 UTC	N/A	Disabled
636	392	smss.exe	0xc08eada6b080	0	-	1	False	2021-02-03 21:51:35.000000 UTC	2021-02-03 21:51:35.000000 UTC	Disabled
652	636	csrss.exe	0xc08eada7e080	10	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
644	540	wininit.exe	0xc08eada88080	1	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
740	636	winlogon.exe	0xc08eadaf0080	2	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
776	644	services.exe	0xc08eadb11480	7	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
788	644	lsass.exe	0xc08eadb385c0	9	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
892	644	fontdrvhost.ex	0xc08eadbbb5c0	5	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
900	740	fontdrvhost.ex	0xc08eadbcb5c0	5	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
876	776	svchost.exe	0xc08eadbe22c0	12	-	0	False	2021-02-03 21:51:35.000000 UTC	N/A	Disabled
22160	776	OfficeClickToR	0xc08eadbfb080	20	-	0	False	2021-02-21 13:27:02.000000 UTC	N/A	Disabled
2072	776	svchost.exe	0xc08eae6045c0	7	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
2204	776	spoolsv.exe	0xc08eae6325c0	7	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
5268	776	svchost.exe	0xc08eae69b500	103	-	0	False	2021-02-03 21:53:23.000000 UTC	N/A	Disabled
2332	776	svchost.exe	0xc08eae7895c0	12	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2340	776	armsvc.exe	0xc08eae7985c0	2	-	0	True	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2392	776	macmnsvc.exe	0xc08eae79d5c0	2	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2348	776	FireSvc.exe	0xc08eae79f400	17	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2376	776	HipMgmt.exe	0xc08eae7ab5c0	13	-	0	True	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2408	776	masvc.exe	0xc08eae7c25c0	8	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2436	776	mfemms.exe	0xc08eae7d65c0	8	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2444	776	VsTskMgr.exe	0xc08eae7fa5c0	21	-	0	True	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
1688	776	svchost.exe	0xc08eae837080	5	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
1004	776	svchost.exe	0xc08eaf15a5c0	11	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
504	740	dwm.exe	0xc08eaf1b55c0	10	-	1	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
448	740	LogonUI.exe	0xc08eaf216300	13	-	1	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
544	776	svchost.exe	0xc08eaf24c5c0	50	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
848	776	svchost.exe	0xc08eaf28b5c0	24	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
996	776	svchost.exe	0xc08eaf2905c0	34	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
1048	776	svchost.exe	0xc08eaf2a85c0	4	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
1056	776	svchost.exe	0xc08eaf2be5c0	16	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
1064	776	svchost.exe	0xc08eaf2c25c0	19	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
1212	776	svchost.exe	0xc08eaf2de5c0	0	-	0	False	2021-02-03 21:51:36.000000 UTC	2021-03-04 17:33:11.000000 UTC	Disabled
1124	776	svchost.exe	0xc08eaf2ee5c0	27	-	0	False	2021-02-03 21:51:36.000000 UTC	N/A	Disabled
1456	776	svchost.exe	0xc08eaf5945c0	15	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
436	776	vmacthlp.exe	0xc08eaf6dc5c0	1	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
2044	776	svchost.exe	0xc08eaf6f35c0	5	-	0	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
1724	4	MemCompression	0xc08eaf7765c0	6	-	N/A	False	2021-02-03 21:51:37.000000 UTC	N/A	Disabled
2648	776	VGAuthService.	0xc08eaf9305c0	2	-	0	False	2021-02-03 21:51:39.000000 UTC	N/A	Disabled
2580	776	SecurityHealth	0xc08eaf9325c0	7	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2604	776	Sysmon64.exe	0xc08eaf9d05c0	14	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2616	776	Velociraptor.e	0xc08eaf9d85c0	15	-	0	False	2021-02-03 21:51:38.000000 UTC	N/A	Disabled
2656	776	vmtoolsd.exe	0xc08eafa075c0	11	-	0	False	2021-02-03 21:51:39.000000 UTC	N/A	Disabled
2684	776	ManagementAgen	0xc08eafa2c5c0	8	-	0	False	2021-02-03 21:51:39.000000 UTC	N/A	Disabled
2952	776	mfevtps.exe	0xc08eafc075c0	3	-	0	False	2021-02-03 21:51:39.000000 UTC	N/A	Disabled
2068	2444	mfeann.exe	0xc08eafdb15c0	17	-	0	True	2021-02-03 21:51:40.000000 UTC	N/A	Disabled
2636	2068	conhost.exe	0xc08eafdd5080	4	-	0	False	2021-02-03 21:51:40.000000 UTC	N/A	Disabled
4648	876	dllhost.exe	0xc08eafeeb200	4	-	0	False	2021-02-03 21:51:51.000000 UTC	N/A	Disabled
3184	876	unsecapp.exe	0xc08eaff985c0	3	-	0	False	2021-02-03 21:51:40.000000 UTC	N/A	Disabled
3764	2436	mfevtps.exe	0xc08eb03855c0	6	-	0	False	2021-02-03 21:51:43.000000 UTC	N/A	Disabled
3224	2436	mfefire.exe	0xc08eb07eb5c0	7	-	0	False	2021-02-03 21:51:46.000000 UTC	N/A	Disabled
2964	2436	mfehcs.exe	0xc08eb081e5c0	13	-	0	False	2021-02-03 21:51:46.000000 UTC	N/A	Disabled
4104	2348	FireTray.exe	0xc08eb08b35c0	0	-	0	False	2021-02-03 21:51:46.000000 UTC	2021-02-03 21:51:47.000000 UTC	Disabled
4160	776	macompatsvc.ex	0xc08eb08c75c0	13	-	0	True	2021-02-03 21:51:46.000000 UTC	N/A	Disabled
4152	776	mcshield.exe	0xc08eb08eb5c0	33	-	0	False	2021-02-03 21:51:46.000000 UTC	N/A	Disabled
4384	2408	mfemactl.exe	0xc08eb09c55c0	6	-	0	True	2021-02-03 21:51:47.000000 UTC	N/A	Disabled
69388	776	svchost.exe	0xc08eb0a155c0	0	-	0	False	2021-04-08 16:47:46.000000 UTC	2021-04-10 17:07:15.000000 UTC	Disabled
4888	776	msdtc.exe	0xc08eb0c605c0	9	-	0	False	2021-02-03 21:51:53.000000 UTC	N/A	Disabled
4912	776	svchost.exe	0xc08eb0c6a5c0	2	-	0	False	2021-02-03 21:51:53.000000 UTC	N/A	Disabled
13216	776	SearchIndexer.	0xc08eb0f375c0	17	-	0	False	2021-02-21 13:27:44.000000 UTC	N/A	Disabled
37736	776	svchost.exe	0xc08eb193c080	0	-	0	False	2021-03-08 17:41:39.000000 UTC	2021-03-09 18:12:06.000000 UTC	Disabled
33780	776	svchost.exe	0xc08eb1cce5c0	0	-	0	False	2021-03-04 17:33:11.000000 UTC	2021-03-06 10:17:24.000000 UTC	Disabled
34964	776	svchost.exe	0xc08eb1db05c0	0	-	0	False	2021-03-06 10:17:24.000000 UTC	2021-03-07 16:08:22.000000 UTC	Disabled
54616	776	svchost.exe	0xc08eb1dbf5c0	0	-	0	False	2021-03-28 14:12:36.000000 UTC	2021-03-30 13:35:26.000000 UTC	Disabled
36200	776	svchost.exe	0xc08eb26155c0	0	-	0	False	2021-03-09 18:12:06.000000 UTC	2021-03-11 08:55:19.000000 UTC	Disabled
40360	776	svchost.exe	0xc08eb2ad25c0	0	-	0	False	2021-03-11 08:55:19.000000 UTC	2021-03-22 18:42:27.000000 UTC	Disabled
55044	776	svchost.exe	0xc08eb355d080	0	-	0	False	2021-03-25 09:58:51.000000 UTC	2021-03-27 08:03:23.000000 UTC	Disabled
57136	776	svchost.exe	0xc08eb357f5c0	0	-	0	False	2021-03-27 08:03:24.000000 UTC	2021-03-28 14:12:35.000000 UTC	Disabled
52996	776	svchost.exe	0xc08eb35fd5c0	0	-	0	False	2021-03-24 07:07:30.000000 UTC	2021-03-25 09:58:51.000000 UTC	Disabled
62248	776	svchost.exe	0xc08eb37f5080	0	-	0	False	2021-04-01 10:58:55.000000 UTC	2021-04-02 17:26:05.000000 UTC	Disabled
59436	776	svchost.exe	0xc08eb3d595c0	0	-	0	False	2021-03-30 13:35:26.000000 UTC	2021-04-01 10:58:55.000000 UTC	Disabled
63580	776	svchost.exe	0xc08eb3f105c0	0	-	0	False	2021-04-02 17:26:05.000000 UTC	2021-04-04 17:06:11.000000 UTC	Disabled
63204	776	svchost.exe	0xc08eb40765c0	0	-	0	False	2021-04-04 17:06:11.000000 UTC	2021-04-06 07:02:32.000000 UTC	Disabled
66472	776	svchost.exe	0xc08eb41fa5c0	0	-	0	False	2021-04-07 12:53:50.000000 UTC	2021-04-08 16:47:46.000000 UTC	Disabled
72152	776	svchost.exe	0xc08eb45a65c0	0	-	0	False	2021-04-10 17:07:16.000000 UTC	2021-04-12 16:12:18.000000 UTC	Disabled
66728	776	svchost.exe	0xc08eb46645c0	0	-	0	False	2021-04-06 07:02:33.000000 UTC	2021-04-07 12:53:50.000000 UTC	Disabled
73440	776	svchost.exe	0xc08eb49e95c0	0	-	0	False	2021-04-13 16:48:57.000000 UTC	2021-04-15 08:04:31.000000 UTC	Disabled
69928	776	svchost.exe	0xc08eb4af25c0	0	-	0	False	2021-04-12 16:12:18.000000 UTC	2021-04-13 16:48:56.000000 UTC	Disabled
78212	776	svchost.exe	0xc08eb4ddd5c0	0	-	0	False	2021-04-16 13:18:26.000000 UTC	2021-04-17 13:20:28.000000 UTC	Disabled
