Volatility 3 Framework 2.28.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xc08eaa8ed480	139	-	N/A	False	2021-02-03 21:51:29.000000 UTC	N/A	-	-	-
* 392	4	smss.exe	0xc08eac973040	2	-	N/A	False	2021-02-03 21:51:30.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
** 636	392	smss.exe	0xc08eada6b080	0	-	1	False	2021-02-03 21:51:35.000000 UTC	2021-02-03 21:51:35.000000 UTC	\Device\HarddiskVolume2\Windows\System32\smss.exe	-	-
*** 652	636	csrss.exe	0xc08eada7e080	10	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\WINDOWS\system32\csrss.exe
*** 740	636	winlogon.exe	0xc08eadaf0080	2	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\winlogon.exe	winlogon.exe	C:\WINDOWS\system32\winlogon.exe
**** 448	740	LogonUI.exe	0xc08eaf216300	13	-	1	False	2021-02-03 21:51:36.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\LogonUI.exe	"LogonUI.exe" /flags:0x0 /state0:0xa3bf2055 /state1:0x41c64e6d	C:\WINDOWS\system32\LogonUI.exe
**** 504	740	dwm.exe	0xc08eaf1b55c0	10	-	1	False	2021-02-03 21:51:36.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\dwm.exe	"dwm.exe"	C:\WINDOWS\system32\dwm.exe
**** 900	740	fontdrvhost.ex	0xc08eadbcb5c0	5	-	1	False	2021-02-03 21:51:35.000000 UTC	N/A	\Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\WINDOWS\system32\fontdrvhost.exe
** 540	392	smss.exe	0xc08ead694080	0	-	0	False	2021-02-03 21:51:35.000000 UTC	2021-02-03 21:51:35.000000 UTC	\Device\HarddiskVolume2\Windows\System32\smss.exe	-	-
