Volatility 3 Framework 2.28.1

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name

Microsoft-Windows-DiskDiagnosticDataCollector	LocalSystem	-	-	2018-07-02 22:23:20.000000 UTC	2018-04-28 18:22:00.000000 UTC	2018-07-02 22:23:20.000000 UTC	-	-	Exe	%windir%\system32\rundll32.exe	dfdts.dll,DfdGetDefaultPolicyAndSMART	LocalSystem	-	{010DF13D-9738-48CC-8B14-AC1490A129A5}
Registration	LocalSystem	-	True	2021-09-15 22:20:57.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 22:20:58.000000 UTC	Time	-	Exe	%windir%\system32\sc.exe	start pushtoinstall registration	LocalSystem	-	{0319D346-9E60-4CE2-B937-EF6C981CC0F1}
Registration	LocalSystem	-	True	2021-09-15 22:20:57.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 22:20:58.000000 UTC	WindowsNotificationFacility	WNF state 750cbca3290b9641	Exe	%windir%\system32\sc.exe	start pushtoinstall registration	LocalSystem	-	{0319D346-9E60-4CE2-B937-EF6C981CC0F1}
Proxy	LocalSystem	-	True	2021-02-03 22:31:41.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 22:31:41.000000 UTC	Boot	Boot trigger	Exe	%windir%\system32\rundll32.exe	/d acproxy.dll,PerformAutochkOperations	LocalSystem	-	{03BAB3F3-7CFB-408A-9756-70F45BE325AC}
SpaceAgentTask	LocalSystem	-	False	-	2018-05-04 18:22:00.000000 UTC	-	Boot	Boot trigger	-	-	-	LocalSystem	-	{04E9E27D-20BA-4966-9A08-59E136EAC4E1}
SpaceAgentTask	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7508bca33e1e8702	-	-	-	LocalSystem	-	{04E9E27D-20BA-4966-9A08-59E136EAC4E1}
BgTaskRegistrationMaintenanceTask	LocalSystem	-	-	2021-09-12 11:52:01.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-12 11:52:02.000000 UTC	-	-	ComHandler	{e984d939-e00-4dd9-ac3a-7aca04745521}	-	LocalSystem	N/A	{050CEDD3-9FA4-4FD4-9E7D-0C1BD2A2327C}
SvcRestartTaskNetwork	NetworkService	-	True	2021-09-15 17:49:07.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 17:49:08.000000 UTC	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="Microsoft-Windows-NetworkProfile/Operational"><Select Path="Microsoft-Windows-NetworkProfile/Operational">*[System[EventID=10000]]</Select></Query></QueryList>, Queries: []	ComHandler	{b1aebb5d-ead9-4476-b375-9c3ed9f32afc}	network	NetworkService	N/A	{05336594-7C19-4BFE-BD11-D0C01A1BEBD9}
DmClient	LocalSystem	-	-	2021-09-15 01:53:22.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 01:53:23.000000 UTC	-	-	-	-	-	LocalSystem	-	{0621FDBB-ADD5-44B7-A2AB-8288118B6295}
EnableLicenseAcquisition	LocalSystem	-	True	2021-02-03 21:51:42.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 21:51:56.000000 UTC	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="Microsoft-Windows-User Device Registration/Admin"><Select Path="Microsoft-Windows-User Device Registration/Admin">*[System[Provider[@Name='Microsoft-Windows-User Device Registration'] and EventID=105]]</Select></Query></QueryList>, Queries: []	Exe	%SystemRoot%\system32\ClipRenew.exe	-e	LocalSystem	-	{06351248-4DCE-4469-938B-840F850C83B4}
EnableLicenseAcquisition	LocalSystem	-	True	2021-02-03 21:51:42.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 21:51:56.000000 UTC	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="Application"><Select Path="Application">*[System[Provider[@Name='Microsoft-Windows-Security-SPP'] and EventID=1061]]</Select></Query></QueryList>, Queries: []	Exe	%SystemRoot%\system32\ClipRenew.exe	-e	LocalSystem	-	{06351248-4DCE-4469-938B-840F850C83B4}
EnableLicenseAcquisition	LocalSystem	-	True	2021-02-03 21:51:42.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 21:51:56.000000 UTC	WindowsNotificationFacility	WNF state 7524bca33e06830d	Exe	%SystemRoot%\system32\ClipRenew.exe	-e	LocalSystem	-	{06351248-4DCE-4469-938B-840F850C83B4}
Windows Defender Cleanup	LocalSystem	-	-	2021-09-16 01:52:15.000000 UTC	2020-09-21 00:31:43.000000 UTC	2021-09-16 01:52:27.000000 UTC	-	-	Exe	C:\Program Files\Windows Defender\MpCmdRun.exe	-IdleTask -TaskName WdCleanup	LocalSystem	-	{079B8E48-46BD-4514-9A31-41469CEE0840}
