Volatility 3 Framework 2.28.1

PID	Process	Args

4	System	-
136	Registry	-
468	smss.exe	\SystemRoot\System32\smss.exe
680	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
752	wininit.exe	wininit.exe
760	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
824	winlogon.exe	winlogon.exe
896	services.exe	C:\WINDOWS\system32\services.exe
916	lsass.exe	C:\WINDOWS\system32\lsass.exe
516	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
592	fontdrvhost.ex	"fontdrvhost.exe"
608	fontdrvhost.ex	"fontdrvhost.exe"
456	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
1072	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
1160	dwm.exe	"dwm.exe"
1224	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC
1232	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p
1296	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1352	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1368	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1452	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
1492	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p
1548	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
1632	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm
1764	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc
1772	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1792	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1896	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem
1924	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
1960	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1988	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes
1688	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p
2104	MemCompression	-
2128	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache
2136	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s SENS
2168	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
2212	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
2356	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
2544	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2604	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p
2620	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
2696	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
2744	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc
2828	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2936	spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe
2988	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
3020	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2600	svchost.exe	C:\WINDOWS\System32\svchost.exe -k utcsvc -p
2660	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
2612	svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository
3100	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3144	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpDefenderCoreService.exe"
3172	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
3200	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService
3212	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt
3252	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer
3284	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MsMpEng.exe"
2732	svchost.exe	C:\WINDOWS\system32\svchost.exe -k wsappx -p -s AppXSvc
3960	svchost.exe	C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc
3948	svchost.exe	C:\WINDOWS\system32\svchost.exe -k WSAIFabricSvcGroup -p -s WSAIFabricSvc
1708	AggregatorHost	AggregatorHost.exe
4024	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
2432	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
3852	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
4132	svchost.exe	C:\WINDOWS\system32\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
4276	sihost.exe	sihost.exe
4312	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
4340	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
4384	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
4476	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker
4584	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
4644	MicrosoftEdgeU	"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c
4780	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc
4948	userinit.exe	-
4968	explorer.exe	C:\WINDOWS\Explorer.EXE
5112	ShellHost.exe	"C:\Windows\System32\ShellHost.exe"
4684	svchost.exe	C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
1184	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo
5144	CrossDeviceRes	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp
5432	StartMenuExper	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca
5452	SearchHost.exe	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca
5652	Widgets.exe	"C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.31002.150.9_x64__cw5n1h2txyewy\Dashboard\Widgets.exe" -ServerName:Microsoft.Windows.DashboardServer
5684	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5712	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc
5964	svchost.exe	-
