Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType

0x990eee69db40	DRV	lltdio	N/A	N/A	N/A
* 0x990eee69db40	DEV	lltdio	lltdio	N/A	FILE_DEVICE_NETWORK
0x990eee70c4a0	DRV	intelpep	N/A	N/A	N/A
0x990eee70cd40	DRV	WindowsTrustedRTProxy	N/A	N/A	N/A
0x990eee70d6e0	DRV	IntelPMT	N/A	N/A	N/A
0x990eee71ae10	DRV	msisadrv	N/A	N/A	N/A
* 0x990eee71ae10	DEV	msisadrv	-	N/A	FILE_DEVICE_UNKNOWN
0x990eee71e680	DRV	WindowsTrustedRT	N/A	N/A	N/A
* 0x990eee71e680	DEV	WindowsTrustedRT	WindowsTrustedRT	N/A	FILE_DEVICE_UNKNOWN
0x990eee720de0	DRV	Msfs	N/A	N/A	N/A
* 0x990eee720de0	DEV	Msfs	Mailslot	N/A	FILE_DEVICE_MAILSLOT
** 0x990eee720de0	ATT	Msfs	-	\FileSystem\FltMgr	FILE_DEVICE_MAILSLOT
0x990eee744b90	DRV	PnpManager	N/A	N/A	N/A
* 0x990eee744b90	DEV	PnpManager	0000000f	N/A	FILE_DEVICE_CONTROLLER
** 0x990eee744b90	ATT	PnpManager	RdpBus	\Driver\rdpbus	UNKNOWN
0x990eee782e00	DRV	amdwps	N/A	N/A	N/A
0x990eee78ae00	DRV	PRM	N/A	N/A	N/A
0x990eee7a4260	DRV	WMIxWDM	N/A	N/A	N/A
* 0x990eee7a4260	DEV	WMIxWDM	WMIDataDevice	N/A	FILE_DEVICE_UNKNOWN
0x990eee7a4e00	DRV	ACPI_HAL	N/A	N/A	N/A
* 0x990eee7a4e00	DEV	ACPI_HAL	00000010	N/A	FILE_DEVICE_BUS_EXTENDER
** 0x990eee7a4e00	ATT	ACPI_HAL	-	\Driver\ACPI	FILE_DEVICE_ACPI
0x990eee7b7d90	DRV	CNG	N/A	N/A	N/A
* 0x990eee7b7d90	DEV	CNG	CNG	N/A	UNKNOWN
0x990eee7b9e20	DRV	Wdf01000	N/A	N/A	N/A
* 0x990eee7b9e20	DEV	Wdf01000	KMDF0	N/A	FILE_DEVICE_UNKNOWN
0x990eee7d5780	DRV	acpiex	N/A	N/A	N/A
* 0x990eee7d5780	DEV	acpiex	RESOURCE_HUB	N/A	FILE_DEVICE_UNKNOWN
0x990eee7f0da0	DRV	ACPI	N/A	N/A	N/A
* 0x990eee7f0da0	DEV	ACPI	00000020	N/A	FILE_DEVICE_ACPI
0x990eee817a20	DRV	SoftwareDevice	N/A	N/A	N/A
* 0x990eee817a20	DEV	SoftwareDevice	0000002d	N/A	FILE_DEVICE_UNKNOWN
0x990eee817c40	DRV	DeviceApi	N/A	N/A	N/A
* 0x990eee817c40	DEV	DeviceApi	DeviceApi	N/A	FILE_DEVICE_UNKNOWN
0x990eeefa6ce0	DRV	pci	N/A	N/A	N/A
* 0x990eeefa6ce0	DEV	pci	NTPNP_PCI0008	N/A	FILE_DEVICE_CONTROLLER
** 0x990eeefa6ce0	ATT	pci	RaidPort0	\Driver\storahci	FILE_DEVICE_CONTROLLER
0x990eeefab860	DRV	pdc	N/A	N/A	N/A
* 0x990eeefab860	DEV	pdc	-	N/A	FILE_DEVICE_UNKNOWN
0x990eeefacaa0	DRV	partmgr	N/A	N/A	N/A
* 0x990eeefacaa0	DEV	partmgr	-	N/A	FILE_DEVICE_DISK
0x990eeefb1450	DRV	spaceport	N/A	N/A	N/A
* 0x990eeefb1450	DEV	spaceport	Spaceport	N/A	FILE_DEVICE_CONTROLLER
0x990eeefb3e10	DRV	volmgr	N/A	N/A	N/A
* 0x990eeefb3e10	DEV	volmgr	HarddiskVolume5	N/A	FILE_DEVICE_DISK
** 0x990eeefb3e10	ATT	volmgr	-	\Driver\fvevol	FILE_DEVICE_DISK
*** 0x990eeefb3e10	ATT	volmgr	-	\Driver\iorate	FILE_DEVICE_DISK
**** 0x990eeefb3e10	ATT	volmgr	-	\Driver\rdyboost	FILE_DEVICE_DISK
***** 0x990eeefb3e10	ATT	volmgr	-	\Driver\volume	FILE_DEVICE_DISK
****** 0x990eeefb3e10	ATT	volmgr	-	\Driver\volsnap	FILE_DEVICE_DISK
0x990eeefb56f0	DRV	volmgrx	N/A	N/A	N/A
0x990eeefb5be0	DRV	mountmgr	N/A	N/A	N/A
* 0x990eeefb5be0	DEV	mountmgr	MountPointManager	N/A	FILE_DEVICE_NETWORK
0x990eeefb5e00	DRV	storahci	N/A	N/A	N/A
