Volatility 3 Framework 2.28.1

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

468	smss.exe	0x7ff695c20000	0x37000	smss.exe	\SystemRoot\System32\smss.exe	-1	2026-05-13 19:14:13.000000 UTC	Disabled
468	smss.exe	0x7ffff9a60000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2026-05-13 19:14:13.000000 UTC	Disabled
680	csrss.exe	0x7ff7f9700000	0x7000	csrss.exe	C:\WINDOWS\system32\csrss.exe	-1	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff9a60000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff6320000	0x1a000	CSRSRV.dll	C:\WINDOWS\SYSTEM32\CSRSRV.dll	6	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff6300000	0x17000	basesrv.DLL	C:\WINDOWS\system32\basesrv.DLL	6	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff62e0000	0x16000	winsrv.DLL	C:\WINDOWS\system32\winsrv.DLL	6	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff65f0000	0x3f1000	kernelbase.dll	C:\WINDOWS\SYSTEM32\kernelbase.dll	-1	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff9560000	0xc9000	kernel32.dll	C:\WINDOWS\SYSTEM32\kernel32.dll	-1	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff62b0000	0x26000	winsrvext.dll	C:\WINDOWS\SYSTEM32\winsrvext.dll	6	2026-05-13 19:14:34.000000 UTC	Disabled
680	csrss.exe	0x7ffff69f0000	0x27000	win32u.dll	C:\WINDOWS\system32\win32u.dll	6	2026-05-13 19:14:34.000000 UTC	Disabled
