Volatility 3 Framework 2.28.1

Offset	Start	Size	Service Key	Driver Name	Name

0x990eee69db40	0xf8043ee40000	0x19000	lltdio	lltdio	\Driver\lltdio
0x990eee70c4a0	0xf8043a880000	0xa4000	intelpep	intelpep	\Driver\intelpep
0x990eee70cd40	0xf8043a930000	0xc000	WindowsTrustedRTProxy	WindowsTrustedRTProxy	\Driver\WindowsTrustedRTProxy
0x990eee70d6e0	0xf8043a940000	0x13000	IntelPMT	IntelPMT	\Driver\IntelPMT
0x990eee71ae10	0xf8043a320000	0xc000	msisadrv	msisadrv	\Driver\msisadrv
0x990eee71e680	0xf8043a860000	0x18000	WindowsTrustedRT	WindowsTrustedRT	\Driver\WindowsTrustedRT
0x990eee720de0	0xf8043d550000	0x14000	Msfs	Msfs	\FileSystem\Msfs
0x990eee744b90	0xf804a7c00000	0x0	\Driver\PnpManager	PnpManager	\Driver\PnpManager
0x990eee782e00	0xf8043a840000	0xe000	amdwps	amdwps	\Driver\amdwps
0x990eee78ae00	0xf8043a1f0000	0xf000	PRM	PRM	\Driver\PRM
0x990eee7a4260	0xf804a7c00000	0x0	\Driver\WMIxWDM	WMIxWDM	\Driver\WMIxWDM
0x990eee7a4e00	0xf804a7c00000	0x0	\Driver\ACPI_HAL	ACPI_HAL	\Driver\ACPI_HAL
0x990eee7b7d90	0xf80439550000	0xe1000	CNG	CNG	\Driver\CNG
0x990eee7b9e20	0xf8043a0b0000	0xf0000	Wdf01000	Wdf01000	\Driver\Wdf01000
0x990eee7d5780	0xf8043a210000	0x2a000	acpiex	acpiex	\Driver\acpiex
0x990eee7f0da0	0xf8043a240000	0xd6000	ACPI	ACPI	\Driver\ACPI
0x990eee817a20	0xf804a7c00000	0x0	\Driver\SoftwareDevice	SoftwareDevice	\Driver\SoftwareDevice
0x990eee817c40	0xf804a7c00000	0x0	\Driver\DeviceApi	DeviceApi	\Driver\DeviceApi
0x990eeefa6ce0	0xf8043a330000	0x94000	pci	pci	\Driver\pci
0x990eeefab860	0xf8043a9a0000	0x38000	pdc	pdc	\Driver\pdc
0x990eeefacaa0	0xf8043aa00000	0x35000	partmgr	partmgr	\Driver\partmgr
0x990eeefb1450	0xf8043aa40000	0xf8000	spaceport	spaceport	\Driver\spaceport
0x990eeefb3e10	0xf8043ab40000	0x1e000	volmgr	volmgr	\Driver\volmgr
0x990eeefb56f0	0xf8043ab70000	0x64000	volmgrx	volmgrx	\Driver\volmgrx
0x990eeefb5be0	0xf8043abe0000	0x1f000	mountmgr	mountmgr	\Driver\mountmgr
0x990eeefb5e00	0xf8043ac10000	0x37000	storahci	storahci	\Driver\storahci
0x990eeefb8bf0	0x0	0x0	-	RAW	\FileSystem\RAW
0x990eeefb9e20	0xf8043a960000	0x17000	pcw	pcw	\Driver\pcw
0x990eeefbae20	0xf8043a980000	0x1c000	vdrvroot	vdrvroot	\Driver\vdrvroot
0x990eeefde920	0xf8043a3d0000	0x59000	TPM	TPM	\Driver\TPM
0x990ef2232d10	0xf8043aed0000	0x26000	EhStorClass	EhStorClass	\Driver\EhStorClass
0x990ef2234b50	0xf804397b0000	0x94000	FltMgr	FltMgr	\FileSystem\FltMgr
0x990ef2252a30	0xf8043af00000	0x1d000	FileInfo	FileInfo	\FileSystem\FileInfo
0x990ef2253d60	0xf8043af20000	0x44000	Wof	Wof	\FileSystem\Wof
0x990ef2255c50	0xf8043af70000	0x9f000	WdFilter	WdFilter	\FileSystem\WdFilter
0x990ef2258d10	0xf804394c0000	0x8c000	CLFS	CLFS	\Driver\CLFS
0x990ef2285870	0xf8043b020000	0x368000	Ntfs	Ntfs	\FileSystem\Ntfs
