Volatility 3 Framework 2.28.1

Offset(V)	Name	PID	PPID	Sess	JobSess	Wow64	Total	Active	Term	JobLink	Process

0x990ef6d77080	MpDefenderCore	3144	896	0	0	False	1	1	0	N/A	(Original Process)
* 0x990ef6d77080	MpDefenderCore	3144	896	0	0	False	0	0	0	Yes	C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpDefenderCoreService.exe
0x990ef6e89080	MsMpEng.exe	3284	896	0	0	False	5	1	0	N/A	(Original Process)
* 0x990ef6e89080	MsMpEng.exe	3284	896	0	0	False	0	0	0	Yes	C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MsMpEng.exe
0x990ef784c080	taskhostw.exe	4584	2168	1	1	False	1	1	0	N/A	(Original Process)
* 0x990ef784c080	taskhostw.exe	4584	2168	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\taskhostw.exe
0x990ef7880080	MicrosoftEdgeU	4644	2168	0	0	True	7	1	0	N/A	(Original Process)
* 0x990ef7880080	MicrosoftEdgeU	4644	2168	0	0	True	0	0	0	Yes	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
0x990ef73ac080	CrossDeviceRes	5144	4276	1	1	False	1	1	0	N/A	(Original Process)
* 0x990ef73ac080	CrossDeviceRes	5144	4276	1	0	False	0	0	0	Yes	C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
0x990ef7d8c080	StartMenuExper	5432	516	1	1	False	1	1	0	N/A	(Original Process)
* 0x990ef7d8c080	StartMenuExper	5432	516	1	0	False	0	0	0	Yes	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
0x990ef7d8f080	SearchHost.exe	5452	516	1	1	False	8	7	0	N/A	(Original Process)
