Volatility 3 Framework 2.28.1

Offset	Name

0x990eee845f00	BcdSyncMutant
0x990ef0104ef0	N/A
0x990ef010b630	N/A
0x990ef010d0f0	N/A
0x990ef010e1d0	N/A
0x990ef010ea90	N/A
0x990ef010ed10	N/A
0x990ef010fa30	N/A
0x990ef0116150	N/A
0x990ef0119530	N/A
0x990ef011a250	N/A
0x990ef011f7f0	N/A
0x990ef0120650	N/A
0x990ef0120ab0	N/A
0x990ef01214b0	N/A
0x990ef0122090	N/A
0x990ef0129c50	N/A
0x990ef012aab0	N/A
0x990ef012d0d0	N/A
0x990ef012f470	N/A
0x990ef0131310	N/A
0x990ef01346f0	N/A
0x990ef0134d30	N/A
0x990ef0135730	N/A
0x990ef013b3b0	N/A
0x990ef0155cb0	N/A
0x990ef015e950	N/A
0x990ef41c05d0	PendingRenameMutex
0x990ef4462c10	SM0:680:304:WilStaging_02
0x990ef4836260	SM0:824:304:WilStaging_02
0x990ef4837460	SM0:916:304:WilStaging_02
0x990ef4837a60	SM0:760:304:WilStaging_02
0x990ef4837ee0	SM0:752:120:WilError_03
0x990ef4837fa0	SM0:752:304:WilStaging_02
0x990ef4838a20	SM0:896:304:WilStaging_02
0x990ef491a060	N/A
0x990ef491cae0	N/A
0x990ef4926980	N/A
0x990ef49ba5e0	SM0:4420:120:WilError_03
0x990ef49babe0	SM0:4420:304:WilStaging_02
0x990ef49baca0	SM0:1292:304:WilStaging_02
0x990ef49be5a0	SM0:6080:304:WilStaging_02
0x990ef49c39a0	SM0:1920:304:WilStaging_02
0x990ef49c3be0	SmartScreenRemoteDatacustomSynchronousLookupUris9583f76caf353a7551afa6a2842a8296
0x990ef49c3ca0	SmartScreenRemoteDatatopTraffic9583f76caf353a7551afa6a2842a8296
0x990ef49c3ee0	SmartScreenLocalDatadownloadCachebee761eac36bd593f9a7862ee789ff82
0x990ef49c45a0	SmartScreenRemoteDataedgeSettings9583f76caf353a7551afa6a2842a8296
0x990ef49c4ea0	SM0:6080:120:WilError_03
0x990ef49c53e0	SmartScreenRemoteDatawarnStateCachebee761eac36bd593f9a7862ee789ff82
0x990ef49c54a0	SM0:2724:304:WilStaging_02
0x990ef49c5560	SmartScreenRemoteDatacustomSettings9583f76caf353a7551afa6a2842a8296
0x990ef49c5da0	SmartScreenLocalDatauriCachebee761eac36bd593f9a7862ee789ff82
0x990ef49c5e60	mfx_d3d_mutex
0x990ef4a521f0	N/A
0x990ef4a52a10	N/A
0x990ef4a52f10	N/A
0x990ef4a53410	N/A
0x990ef4a548b0	N/A
0x990ef4a54f90	N/A
0x990ef4a555d0	N/A
0x990ef4a56890	N/A
0x990ef4a56b10	N/A
0x990ef4a56ed0	N/A
0x990ef4a58f50	N/A
0x990ef4a5ff30	N/A
0x990ef4a625f0	N/A
0x990ef4a63630	N/A
0x990ef4a66d30	N/A
0x990ef4a67370	N/A
0x990ef4a68090	N/A
0x990ef4a681d0	N/A
0x990ef4a68270	N/A
0x990ef4a6b1f0	N/A
0x990ef4a6b5b0	N/A
0x990ef4a6c5f0	N/A
0x990ef4a6cb90	N/A
0x990ef4a71730	N/A
0x990ef4a71a50	N/A
0x990ef4a72630	N/A
0x990ef4a77450	N/A
0x990ef4a7c270	N/A
0x990ef4a7c9f0	N/A
0x990ef4a7cbd0	N/A
0x990ef4a7cc70	N/A
0x990ef4a7d2b0	N/A
0x990ef4a7ddf0	N/A
0x990ef4a7de90	N/A
0x990ef4a7e070	N/A
0x990ef4a7e6b0	N/A
0x990ef4a7e930	N/A
0x990ef4a7f0b0	N/A
0x990ef4a802d0	N/A
0x990ef4a8c710	N/A
0x990ef4a8e150	N/A
0x990ef4a8e790	N/A
0x990ef4a8ed30	N/A
0x990ef4a8edd0	N/A
0x990ef4a8f5f0	N/A
0x990ef4a8f730	N/A
0x990ef4a8f910	N/A
0x990ef4a8fe10	N/A
0x990ef4a91b70	N/A
0x990ef4d493e0	N/A
0x990ef4d4a4c0	N/A
0x990ef4d4aa60	N/A
0x990ef4d4c7c0	N/A
0x990ef4de6160	SM0:516:304:WilStaging_02
0x990ef4de68e0	SM0:608:304:WilStaging_02
0x990ef4de6b20	SM0:592:304:WilStaging_02
0x990ef4de6ca0	SM0:824:120:WilError_03
0x990ef4de7120	SM0:456:304:WilStaging_02
0x990ef4de83e0	SM0:516:120:WilError_03
0x990ef4de8560	SM0:1072:304:WilStaging_02
0x990ef4de8860	{A3BD3259-3E4F-428a-84C8-F0463A9D3EB5}
0x990ef4e18c90	N/A
0x990ef4e1ab30	N/A
0x990ef4f9de60	SM0:1368:304:WilStaging_02
0x990ef4f9df20	SM0:1160:120:WilError_03
0x990ef4f9e220	SM0:6420:304:WilStaging_02
0x990ef4f9f1e0	SM0:1160:304:WilStaging_02
0x990ef4f9f960	SM0:1548:304:WilStaging_02
0x990ef4fa03e0	SM0:1352:304:WilStaging_02
0x990ef4fa04a0	SM0:1224:304:WilStaging_02
0x990ef4fa0560	SM0:1492:304:WilStaging_02
0x990ef4fa07a0	SM0:1232:304:WilStaging_02
0x990ef4fa09e0	SM0:1296:304:WilStaging_02
0x990ef4fa0ce0	SM0:1452:304:WilStaging_02
0x990ef4fb3970	N/A
0x990ef611b1a0	DBWinMutex
0x990ef611c2e0	SM0:1764:304:WilStaging_02
0x990ef611c520	SM0:1224:120:WilError_03
0x990ef611cd60	SM0:1632:304:WilStaging_02
0x990ef611cfa0	SM0:1896:304:WilStaging_02
0x990ef611d2a0	SM0:1772:304:WilStaging_02
0x990ef611d420	SM0:1792:304:WilStaging_02
0x990ef611d5a0	SM0:916:120:WilError_03
0x990ef611da20	SM0:456:120:WilError_03
0x990ef611ef20	DBWinMutex
0x990ef6146090	N/A
0x990ef6149150	N/A
0x990ef614fa50	N/A
0x990ef614fb90	N/A
0x990ef615e370	N/A
0x990ef63c9230	N/A
0x990ef63cb490	N/A
0x990ef6697d60	N/A
0x990ef66988a0	N/A
