Volatility 3 Framework 2.28.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x990ef4f28248	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	456	svchost.exe	2026-05-13 19:14:41.000000 UTC
0x990ef4f28248	TCPv6	::	135	::	0	LISTENING	456	svchost.exe	2026-05-13 19:14:41.000000 UTC
0x990ef4f27068	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	456	svchost.exe	2026-05-13 19:14:41.000000 UTC
0x990ef22fc1c8	TCPv4	169.254.168.49	139	0.0.0.0	0	LISTENING	4	System	2026-05-13 19:14:30.000000 UTC
0x990ef6e80b68	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2026-05-13 19:14:53.000000 UTC
0x990ef6e80b68	TCPv6	::	445	::	0	LISTENING	4	System	2026-05-13 19:14:53.000000 UTC
0x990ef7490ea8	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	4780	svchost.exe	2026-05-13 19:15:45.000000 UTC
0x990ef4f28928	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	916	lsass.exe	2026-05-13 19:14:41.000000 UTC
0x990ef4f28928	TCPv6	::	49664	::	0	LISTENING	916	lsass.exe	2026-05-13 19:14:41.000000 UTC
0x990ef22fc068	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	916	lsass.exe	2026-05-13 19:14:41.000000 UTC
0x990ef4f280e8	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	752	wininit.exe	2026-05-13 19:14:42.000000 UTC
0x990ef4f280e8	TCPv6	::	49665	::	0	LISTENING	752	wininit.exe	2026-05-13 19:14:42.000000 UTC
0x990ef4f27cc8	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	752	wininit.exe	2026-05-13 19:14:42.000000 UTC
0x990ef6763d48	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1792	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6763d48	TCPv6	::	49666	::	0	LISTENING	1792	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6763ea8	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1792	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6a2c7c8	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	2168	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6a2c7c8	TCPv6	::	49667	::	0	LISTENING	2168	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6a2cbe8	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	2168	svchost.exe	2026-05-13 19:14:50.000000 UTC
0x990ef6a2b5e8	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2936	spoolsv.exe	2026-05-13 19:14:52.000000 UTC
0x990ef6a2b5e8	TCPv6	::	49668	::	0	LISTENING	2936	spoolsv.exe	2026-05-13 19:14:52.000000 UTC
0x990ef6a2ca88	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2936	spoolsv.exe	2026-05-13 19:14:52.000000 UTC
0x990ef6e81928	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	896	services.exe	2026-05-13 19:15:14.000000 UTC
