Volatility 3 Framework 2.28.1

Certificate path	Certificate section	Certificate ID	Certificate name

Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	0563B8630D62D75ABBC8AB1E4BDFB5A899B24D43	DigiCert
Microsoft\SystemCertificates	AuthRoot	742C3192E607E424EB4549542BE1BBC53E6174E2	VeriSign Class 3 Public Primary CA
Microsoft\SystemCertificates	AuthRoot	7E04DE896A3E666D00E687D33FFAD93BE83D349E	DigiCert Global Root G3
Microsoft\SystemCertificates	AuthRoot	925A8F8D2C6D04E0665F596AFF22D863E8256F3F	Amazon Services Root Certificate Authority -- G2
Microsoft\SystemCertificates	AuthRoot	D69B561148F01C77C54578C10926DF5B856976AD	GlobalSign Root CA - R3
Microsoft\SystemCertificates	AuthRoot	DF3C24F9BFD666761B268073FE06D1CC8D4F82A4	DigiCert Global Root G2
Microsoft\SystemCertificates	CA	109F1CAED645BB78B3EA2B94C0697C740733031C	-
Microsoft\SystemCertificates	CA	D559A586669B08F46A30A133F8A9ED3D038E2EA8	-
Microsoft\SystemCertificates	CA	FEE449EE0E3965A5246F000E87FDE2A065FD89D4	-
Microsoft\SystemCertificates	CA	A377D1B1C0538833035211F4083D00FECC414DAB	-
Microsoft\SystemCertificates	Disallowed	27748148BBE67A43CDBFEC6C3784862CE134E6EA	-
Microsoft\SystemCertificates	ROOT	0119E81BE9A14CD8E22F40AC118C687ECBA3F4D8	Microsoft Time Stamp Root Certificate Authority 2014
Microsoft\SystemCertificates	ROOT	06F1AA330B927B753A40E68CDF22E34BCBEF3352	Microsoft ECC Product Root Certificate Authority 2018
Microsoft\SystemCertificates	ROOT	18F7C1FCC3090203FD5BAA2F861A754976C8DD25	VeriSign Time Stamping CA
Microsoft\SystemCertificates	ROOT	245C97DF7514E7CF2DF8BE72AE957B9E04741E85	Microsoft Timestamp Root
Microsoft\SystemCertificates	ROOT	31F9FC8BA3805986B721EA7295C65B3A44534274	Microsoft ECC TS Root Certificate Authority 2018
Microsoft\SystemCertificates	ROOT	3B1EFD3A66EA28B16697394703A72CA340A05BD5	Microsoft Root Certificate Authority 2010
Microsoft\SystemCertificates	ROOT	7F88CD7223F3C813818C994614A89C99FA3B5247	Microsoft Authenticode(tm) Root
Microsoft\SystemCertificates	ROOT	8F43288AD272F3103B6FB1428485EA3014C0BCFE	Microsoft Root Certificate Authority 2011
Microsoft\SystemCertificates	ROOT	92B46C76E13054E104F230517E6E504D43AB10B5	-
Microsoft\SystemCertificates	ROOT	A43489159A520F0D93D032CCAF37E7FE20A8B419	Microsoft Root Authority
Microsoft\SystemCertificates	ROOT	BE36A4562FB2EE05DBB3D32323ADF445084ED656	Thawte Timestamping CA
Microsoft\SystemCertificates	ROOT	CDD4EEAE6000AC7F40C3802C171E30148030C072	Microsoft Root Certificate Authority
Microsoft\SystemCertificates	Windows Live ID Token Issuer	2C85006A1A028BCC349DF23C474724C055FDE8B6	-
Microsoft\SystemCertificates	Windows Live ID Token Issuer	B68D8F953E551914324E557E6164D68B9926650C	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
Software\Microsoft\SystemCertificates	CA	D30F05F637E605239C0070D1EA9860D434AC2A94	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
