Volatility 3 Framework 2.28.1

Offset	FileFullPath	File output

0xe08e7c290000		Disabled
0xe08e7c29d000	\REGISTRY\MACHINE\SYSTEM	Disabled
0xe08e7c364000	\REGISTRY\MACHINE\HARDWARE	Disabled
0xe08e7c932000	\SystemRoot\System32\Config\SECURITY	Disabled
0xe08e7c925000	\SystemRoot\System32\Config\SOFTWARE	Disabled
0xe08e7c92b000	\SystemRoot\System32\Config\DEFAULT	Disabled
0xe08e7c836000	\SystemRoot\System32\Config\SAM	Disabled
0xe08e7fc46000	\Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD	Disabled
0xe08e80228000	\??\C:\WINDOWS\ServiceProfiles\NetworkService\NTUSER.DAT	Disabled
0xe08e8047b000	\SystemRoot\System32\Config\BBI	Disabled
0xe08e805ad000	\??\C:\WINDOWS\ServiceProfiles\LocalService\NTUSER.DAT	Disabled
0xe08e834dc000	\??\C:\WINDOWS\AppCompat\Programs\Amcache.hve	Disabled
0xe08e809b1000	\??\C:\Users\kali\ntuser.dat	Disabled
0xe08e809b3000	\??\C:\Users\kali\AppData\Local\Microsoft\Windows\UsrClass.dat	Disabled
0xe08e83680000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.CBS_9.2504.3002.0_x64__8wekyb3d8bbwe\ActivationStore.dat	Disabled
0xe08e837d3000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CoreAI_1000.26100.8036.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xe08e837da000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.Photon_1000.26100.10.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xe08e837eb000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.OOBE_1000.26100.37.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xe08e837ee000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.FileExp_1000.26100.4.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xe08e837f1000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.Core_1000.26100.84.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xe08e83861000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_1000.26100.300.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
