Volatility 3 Framework 2.28.1

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name

.NET Framework NGEN v4.0.30319 64	Author	-	-	-	2026-05-06 05:50:47.000000 UTC	-	-	-	ComHandler	{429bc048-379e-45e0-80e4-eb1977941b5c}	/RuntimeWide	Author	N/A	{01612C27-6C74-4BA7-A9FC-F7D32415C0D4}
-	System	-	True	-	2026-05-06 05:50:45.000000 UTC	-	Boot	Boot trigger	ComHandler	{93cb270-c282-4c22-b2ea-7d2bf1c30bbf}	-	System	N/A	{018DEFD6-03D8-4333-AFD9-CA8D597AD679}
Driver Recovery on Reboot	LocalSystem	-	True	-	2026-05-06 05:50:45.000000 UTC	-	Boot	Boot trigger	ComHandler	{452f6ddc-7930-4b57-8794-19cd7420241d}	-	LocalSystem	N/A	{01A6844B-E702-4F63-A62F-0DD08DCB037F}
-	LocalSystem	-	True	-	-	-	Boot	Boot trigger	-	-	-	-	-	{01C4CB7D-5F10-4883-926F-05410E3171EC}
-	LocalSystem	-	True	-	-	-	Logon	Logon trigger	-	-	-	-	-	{01C4CB7D-5F10-4883-926F-05410E3171EC}
-	LocalSystem	-	True	-	-	-	Time	-	-	-	-	-	-	{01C4CB7D-5F10-4883-926F-05410E3171EC}
-	InteractiveUsers	-	True	2026-05-13 19:20:36.000000 UTC	2026-05-06 05:50:46.000000 UTC	2026-05-13 19:20:37.000000 UTC	Logon	Logon trigger	ComHandler	{97d47d56-3777-49fb-8e8f-90d7e30e1a1e}	Logon	InteractiveUsers	N/A	{0969AA27-FC57-44BF-97B6-5F124E6E90D4}
.NET Framework NGEN v4.0.30319	Author	-	-	-	2026-05-06 05:50:47.000000 UTC	-	-	-	ComHandler	{84f0fae1-c27b-4f6f-807b-28cf6f96287d}	/RuntimeWide	Author	N/A	{09B75BFE-4FDF-47B3-A7FD-899A092F9899}
-	-	-	-	-	-	-	-	-	-	-	-	-	-	{0A18F0F5-0A91-4636-A2B5-0D88BFC4B1C3}
-	Users	-	True	2026-05-13 19:16:45.000000 UTC	2026-05-06 05:50:47.000000 UTC	2026-05-13 19:09:18.000000 UTC	WindowsNotificationFacility	WNF state 7508bca33a0d8212	ComHandler	{b0d2b535-12e1-439f-86b3-bada289510f0}	$(Arg0)	Users	N/A	{0C9E24B1-FA69-4154-B7F3-041454657229}
