Volatility 3 Framework 2.28.1

Offset	CreateTime	From Name	To Name

0xe08e7c202ac0	2026-05-13 19:13:58.000000 UTC	GLOBALROOT	
0xe08e7c213270	2026-05-13 19:13:58.000000 UTC	DosDevices	\??
0xe08e7c280140	2026-05-13 19:13:58.000000 UTC	OSDataDevice	\ArcName\multi(0)disk(0)rdisk(0)partition(4)
0xe08e7c2804f0	2026-05-13 19:13:58.000000 UTC	OSDataRoot	\Device\OSDataDevice
0xe08e7c2b0d30	2026-05-13 19:13:58.000000 UTC	SystemRoot	\Device\BootDevice\WINDOWS
0xe08e7c2b7950	2026-05-13 19:13:58.000000 UTC	Global	\GLOBAL??
0xe08e7c2f35a0	2026-05-13 19:14:00.000000 UTC	DriverStores	\DriverStore\Nodes
0xe08e7c2f3b20	2026-05-13 19:14:00.000000 UTC	SYSTEM	\SystemRoot
0xe08e7c5a8140	2026-05-13 19:14:01.000000 UTC	ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}	\Device\00000006
0xe08e7c5a8260	2026-05-13 19:14:01.000000 UTC	VolMgrControl	\Device\VolMgrControl
0xe08e7c5a8410	2026-05-13 19:14:01.000000 UTC	WindowsTrustedRT	\Device\WindowsTrustedRT
0xe08e7c5a89b0	2026-05-13 19:14:01.000000 UTC	ACPI_HAL#PNP0C08#0#{15c5e253-b8c4-452e-99df-461d0f5078c8}	\Device\00000010
0xe08e7c5a8a40	2026-05-13 19:14:02.000000 UTC	Harddisk0Partition2	\Device\HarddiskVolume2
0xe08e7c5a9220	2026-05-13 19:14:01.000000 UTC	ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}	\Device\00000006
0xe08e7c5a93d0	2026-05-13 19:14:01.000000 UTC	RESOURCE_HUB	\Device\RESOURCE_HUB
0xe08e7c5a9580	2026-05-13 19:14:15.000000 UTC	INTELPRO_{87B7CD4C-D2A9-4887-BA90-0B298138D5D7}	\Device\INTELPRO_{87B7CD4C-D2A9-4887-BA90-0B298138D5D7}
0xe08e7c5a9610	2026-05-13 19:14:01.000000 UTC	ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}	\Device\00000005
0xe08e7c5a9850	2026-05-13 19:14:01.000000 UTC	Spaceport	\Device\Spaceport
