Volatility 3 Framework 2.28.1

Name	StartAddress	EndAddress	Time

hwpolicy.sys	0xf8043bd50000	0xf8043bd64000	1601-01-01 00:00:07.000000 UTC
WdBoot.sys	0xf8043a430000	0xf8043a43c000	1601-01-01 00:00:08.000000 UTC
uiomap.sys	0xf8043d4d0000	0xf8043d4e4000	1601-01-01 00:00:16.000000 UTC
KMPDC.sys	0xf8043da70000	0xf8043da84000	1601-01-01 00:00:17.000000 UTC
dam.sys	0xf8043da40000	0xf8043da63000	1601-01-01 00:00:17.000000 UTC
dump_dumpfve.sys	0xf8043d400000	0xf8043d427000	1601-01-01 00:00:36.000000 UTC
dump_storahci.sys	0xf8043dd70000	0xf8043ddaa000	1601-01-01 00:00:36.000000 UTC
dump_storport.sys	0xf8043dd10000	0xf8043dd24000	1601-01-01 00:00:36.000000 UTC
NetworkPrivacyPolicy.sys	0xf8043f7c0000	0xf8043f7e0000	1601-01-01 00:00:57.000000 UTC
