Volatility 3 Framework 2.28.1

PID	Process	Offset	Parent	Left	Right	Start	End	Tag

4	System	0x990eee6719d0	0x0	0x990eee6aeb20	0x990eee7fd420	0x7ffed000	0x7ffedfff	VadS
4	System	0x990eee6aeb20	0x990eee6719d0	0x990eee7fdf60	0x0	0x7ffe0000	0x7ffe0fff	VadS
4	System	0x990eee7fdf60	0x990eee6aeb20	0x0	0x0	0x1a500000	0x1a6befff	Vad 
4	System	0x990eee7fd420	0x990eee6719d0	0x990eee7fdce0	0x0	0x25d1a770000	0x25d1a7a5fff	Vad 
4	System	0x990eee7fdce0	0x990eee7fd420	0x0	0x0	0x25d1a500000	0x25d1a766fff	Vad 
136	Registry	0x990ef710dbe0	0x0	0x990ef2a5f6e0	0x990ef7b116a0	0x2970b060000	0x2970b07ffff	Vad 
136	Registry	0x990ef2a5f6e0	0x990ef710dbe0	0x990ef2a5fc80	0x990ef406a0a0	0x29709910000	0x29709b0ffff	Vad 
136	Registry	0x990ef2a5fc80	0x990ef2a5f6e0	0x990ef2a5fb40	0x990ef2a5e4c0	0x29707910000	0x29707b0ffff	Vad 
136	Registry	0x990ef2a5fb40	0x990ef2a5fc80	0x990ef2a5f280	0x990ef2a5ff00	0x29706910000	0x29706b0ffff	Vad 
136	Registry	0x990ef2a5f280	0x990ef2a5fb40	0x990eeefa3a00	0x990ef2a5f0a0	0x29706110000	0x2970630ffff	Vad 
136	Registry	0x990eeefa3a00	0x990ef2a5f280	0x990eeefa3820	0x990eeefa2100	0x29706080000	0x2970608ffff	Vad 
136	Registry	0x990eeefa3820	0x990eeefa3a00	0x0	0x0	0x29706070000	0x2970607ffff	Vad 
136	Registry	0x990eeefa2100	0x990eeefa3a00	0x0	0x0	0x29706090000	0x2970610ffff	Vad 
136	Registry	0x990ef2a5f0a0	0x990ef2a5f280	0x990ef2a5ef60	0x990ef2a5f5a0	0x29706510000	0x2970670ffff	Vad 
136	Registry	0x990ef2a5ef60	0x990ef2a5f0a0	0x0	0x0	0x29706310000	0x2970650ffff	Vad 
136	Registry	0x990ef2a5f5a0	0x990ef2a5f0a0	0x0	0x0	0x29706710000	0x2970690ffff	Vad 
136	Registry	0x990ef2a5ff00	0x990ef2a5fb40	0x990ef2a5f460	0x990ef2a5f640	0x29707110000	0x2970730ffff	Vad 
136	Registry	0x990ef2a5f460	0x990ef2a5ff00	0x990ef2a5f820	0x990ef2a5f780	0x29706d10000	0x29706f0ffff	Vad 
136	Registry	0x990ef2a5f820	0x990ef2a5f460	0x0	0x0	0x29706b10000	0x29706d0ffff	Vad 
136	Registry	0x990ef2a5f780	0x990ef2a5f460	0x0	0x0	0x29706f10000	0x2970710ffff	Vad 
136	Registry	0x990ef2a5f640	0x990ef2a5ff00	0x990ef2a5ea60	0x990ef2a5e920	0x29707510000	0x2970770ffff	Vad 
136	Registry	0x990ef2a5ea60	0x990ef2a5f640	0x0	0x0	0x29707310000	0x2970750ffff	Vad 
136	Registry	0x990ef2a5e920	0x990ef2a5f640	0x0	0x0	0x29707710000	0x2970790ffff	Vad 
136	Registry	0x990ef2a5e4c0	0x990ef2a5fc80	0x990ef2a5ee20	0x990ef2a5fbe0	0x29708910000	0x29708b0ffff	Vad 
136	Registry	0x990ef2a5ee20	0x990ef2a5e4c0	0x990ef2a5e060	0x990ef2a5e600	0x29708110000	0x2970830ffff	Vad 
136	Registry	0x990ef2a5e060	0x990ef2a5ee20	0x990ef2a5e100	0x990ef2a5e7e0	0x29707d10000	0x29707f0ffff	Vad 
136	Registry	0x990ef2a5e100	0x990ef2a5e060	0x0	0x0	0x29707b10000	0x29707d0ffff	Vad 
136	Registry	0x990ef2a5e7e0	0x990ef2a5e060	0x0	0x0	0x29707f10000	0x2970810ffff	Vad 
136	Registry	0x990ef2a5e600	0x990ef2a5ee20	0x990ef2a5fd20	0x990ef2a5ed80	0x29708510000	0x2970870ffff	Vad 
136	Registry	0x990ef2a5fd20	0x990ef2a5e600	0x0	0x0	0x29708310000	0x2970850ffff	Vad 
136	Registry	0x990ef2a5ed80	0x990ef2a5e600	0x0	0x0	0x29708710000	0x2970890ffff	Vad 
136	Registry	0x990ef2a5fbe0	0x990ef2a5e4c0	0x990eeef9d600	0x990ef2a5fe60	0x29709110000	0x2970930ffff	Vad 
136	Registry	0x990eeef9d600	0x990ef2a5fbe0	0x990ef2a5e420	0x990ef2a5f140	0x29708d10000	0x29708f0ffff	Vad 
136	Registry	0x990ef2a5e420	0x990eeef9d600	0x0	0x0	0x29708b10000	0x29708d0ffff	Vad 
136	Registry	0x990ef2a5f140	0x990eeef9d600	0x0	0x0	0x29708f10000	0x2970910ffff	Vad 
