Volatility 3 Framework 2.28.1

Allocation	Tag	PoolType	NumberOfBytes	Status

0xffff990ef2dcd000	Cont	N/A	0x1000	Allocated
0xffffe08e81e99000	CM16	N/A	0x1000	Allocated
0xffffe08e7f889000	CM25	N/A	0x1000	Allocated
0xffff990ef40d5000	MmAc	N/A	0x1000	Allocated
0xffffe08e83166000	CM16	N/A	0x2000	Allocated
0xffffe08e81e5e000	CM16	N/A	0x1000	Allocated
0xffffe08e81018000	MiRr	N/A	0x3600	Allocated
0xffff990ef4521000	WPCT	N/A	0x1000	Allocated
0xffffe08e8312b000	CM16	N/A	0x1000	Allocated
0xffffb08014592000	ConT	N/A	0x4000	Allocated
0xffffe08e7f84e000	CM25	N/A	0x1000	Allocated
0xffffe08e81e23000	CM16	N/A	0x1000	Allocated
0xffffe08e7fdfc000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f93a000	CM25	N/A	0x1000	Allocated
0xffffe08e836d9000	PfLB	N/A	0x8000	Allocated
0xffff990ef4024000	ScCB	N/A	0x10000	Allocated
0xffffe08e7f478000	CM25	N/A	0x1000	Allocated
0xffffe08e81f0f000	CM16	N/A	0x1000	Allocated
0xffff990ef2d57000	Cont	N/A	0x1000	Allocated
0xffffe08e7f8ff000	CM25	N/A	0x1000	Allocated
0xffffe08e7f43d000	CM25	N/A	0x1000	Allocated
0xffffe08e81ed4000	CM16	N/A	0x1000	Allocated
0xffffe08e7dc73000	MmSt	N/A	0x20e0	Allocated
0xffff990eeef42000	WPLg	N/A	0x10b0	Allocated
0xffff990ef2ce1000	Cont	N/A	0x1000	Allocated
0xffff990ef2d1c000	Cont	N/A	0x1000	Allocated
0xffff990ef2398000	IPrq	N/A	0x5410	Allocated
0xffffe08e7f8c4000	CM25	N/A	0x1000	Allocated
0xffffe08e7f402000	CM25	N/A	0x1000	Allocated
0xffff990ef2ca6000	Cont	N/A	0x1000	Allocated
0xffff990eeea45000	EtwB	N/A	0x10000	Allocated
0xffffe08e7fe72000	WtdJ	N/A	0x1310	Allocated
0xffff990ef6583000	MmAc	N/A	0x1000	Allocated
0xffff990ef6a80000	EtwB	N/A	0x1000	Allocated
0xffffe08e7f9b0000	CM25	N/A	0x1000	Allocated
0xffffe08e7f4ee000	CM25	N/A	0x1000	Allocated
0xffffe08e7dd24000	MmSt	N/A	0x1000	Allocated
0xffffe08e7d862000	MmSt	N/A	0x1ea0	Allocated
0xffffe08e85862000	RvaL	N/A	0x2790	Allocated
0xffffe08e7c55a000	RvaL	N/A	0x10e0	Allocated
0xffff990ef2c6b000	Cont	N/A	0x1000	Allocated
0xffffe08e7f4b3000	CM25	N/A	0x1000	Allocated
0xffffe08e7d365000	MmSt	N/A	0x1600	Allocated
0xffff990ef2c30000	Cont	N/A	0x1000	Allocated
0xffffe08e7f59f000	CM25	N/A	0x1000	Allocated
0xffffe08e7f0dd000	CM25	N/A	0x3000	Allocated
0xffffe08e870dd000	MmRe	N/A	0x1660	Allocated
0xffffe08e7f564000	CM25	N/A	0x1000	Allocated
0xffffe08e7f0a2000	CM25	N/A	0x1000	Allocated
0xffffe08e7fee8000	Gelc	N/A	0x1000	Allocated
0xffffe08e7fa26000	CM25	N/A	0x1000	Allocated
0xffff990ef4846000	Via1	N/A	0x1c00	Allocated
0xffffe08e80831000	MmRe	N/A	0x1110	Allocated
0xffff990ef4384000	EtwB	N/A	0x1000	Allocated
0xffffe08e81677000	CM16	N/A	0x1000	Allocated
0xffffe08e7d416000	MmSt	N/A	0x1810	Allocated
0xffffe08e7f9eb000	CM25	N/A	0x1000	Allocated
0xffffe08e7f529000	CM25	N/A	0x1000	Allocated
