Volatility 3 Framework 2.28.1

Type	Callback	Module	Symbol	Detail

PspLoadImageNotifyRoutine	0xf8043aff2380	WdFilter	-	N/A
PspLoadImageNotifyRoutine	0xf8043daf6a30	ahcache	-	N/A
PspLoadImageNotifyRoutine	0xf8043f869d90	KslD	-	N/A
PspCreateThreadNotifyRoutine	0xf8043afd3a70	WdFilter	-	N/A
PspCreateThreadNotifyRoutine	0xf8043afd5f00	WdFilter	-	N/A
PspCreateThreadNotifyRoutine	0xf8043f763a60	mmcss	-	N/A
PspCreateThreadNotifyRoutine	0xf8043f869e30	KslD	-	N/A
PspCreateThreadNotifyRoutine	0xf8043f869ed0	KslD	-	N/A
PspCreateProcessNotifyRoutine	0xf8043956a4a0	cng	WDI_SEM_EVENT_SCENARIO_TIMEOUT	N/A
PspCreateProcessNotifyRoutine	0xf8043afa63d0	WdFilter	-	N/A
PspCreateProcessNotifyRoutine	0xf80439876e00	ksecdd	KMPnPEvt_DeviceStart_Failure	N/A
PspCreateProcessNotifyRoutine	0xf80439a64430	dxgkrnl	POP_ETW_EVENT_WIN32_STATE_CALLOUT_START	N/A
PspCreateProcessNotifyRoutine	0xf8043b6b9c20	tcpip	-	N/A
PspCreateProcessNotifyRoutine	0xf8043bd40710	iorate	-	N/A
PspCreateProcessNotifyRoutine	0xf80439ff82d0	CI	-	N/A
PspCreateProcessNotifyRoutine	0xf8043ebb16b0	appid	-	N/A
PspCreateProcessNotifyRoutine	0xf8043ede61b0	UCPD	-	N/A
PspCreateProcessNotifyRoutine	0xf8043fd610d0	peauth	-	N/A
PspCreateProcessNotifyRoutine	0xf8043f869f70	KslD	-	N/A
PspCreateProcessNotifyRoutine	0xf8043f821b80	wtd	-	N/A
KeBugCheckCallbackListHead	0xf8043b4479e0	ndis	-	-
KeBugCheckCallbackListHead	0xf8043bafe080	fvevol	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043dccdb60	crashdmp	-	-
KeBugCheckReasonCallbackListHead	0xf8043dcc1630	crashdmp	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a15bac0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3380	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf8043a1d3330	WppRecorder	-	-
