Volatility 3 Framework 2.28.1

PID	Process	Block	Variable	Value

468	smss.exe	0x269d4104270	Path	C:\WINDOWS\System32
468	smss.exe	0x269d4104270	SystemDrive	C:
468	smss.exe	0x269d4104270	SystemRoot	C:\WINDOWS
680	csrss.exe	0x1de34104a90	ComSpec	C:\WINDOWS\system32\cmd.exe
680	csrss.exe	0x1de34104a90	DriverData	C:\Windows\System32\Drivers\DriverData
680	csrss.exe	0x1de34104a90	NUMBER_OF_PROCESSORS	4
680	csrss.exe	0x1de34104a90	OS	Windows_NT
680	csrss.exe	0x1de34104a90	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
680	csrss.exe	0x1de34104a90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
680	csrss.exe	0x1de34104a90	PROCESSOR_ARCHITECTURE	AMD64
680	csrss.exe	0x1de34104a90	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
680	csrss.exe	0x1de34104a90	PROCESSOR_LEVEL	6
680	csrss.exe	0x1de34104a90	PROCESSOR_REVISION	ba03
680	csrss.exe	0x1de34104a90	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
680	csrss.exe	0x1de34104a90	SystemDrive	C:
680	csrss.exe	0x1de34104a90	SystemRoot	C:\WINDOWS
680	csrss.exe	0x1de34104a90	TEMP	C:\WINDOWS\TEMP
680	csrss.exe	0x1de34104a90	TMP	C:\WINDOWS\TEMP
680	csrss.exe	0x1de34104a90	USERNAME	SYSTEM
680	csrss.exe	0x1de34104a90	windir	C:\WINDOWS
752	wininit.exe	0x1cbff104a90	ALLUSERSPROFILE	C:\ProgramData
752	wininit.exe	0x1cbff104a90	CommonProgramFiles	C:\Program Files\Common Files
752	wininit.exe	0x1cbff104a90	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
752	wininit.exe	0x1cbff104a90	CommonProgramW6432	C:\Program Files\Common Files
752	wininit.exe	0x1cbff104a90	COMPUTERNAME	CLEANWINDOWS11
752	wininit.exe	0x1cbff104a90	ComSpec	C:\WINDOWS\system32\cmd.exe
752	wininit.exe	0x1cbff104a90	DriverData	C:\Windows\System32\Drivers\DriverData
752	wininit.exe	0x1cbff104a90	NUMBER_OF_PROCESSORS	4
752	wininit.exe	0x1cbff104a90	OS	Windows_NT
752	wininit.exe	0x1cbff104a90	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
752	wininit.exe	0x1cbff104a90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
752	wininit.exe	0x1cbff104a90	PROCESSOR_ARCHITECTURE	AMD64
752	wininit.exe	0x1cbff104a90	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
752	wininit.exe	0x1cbff104a90	PROCESSOR_LEVEL	6
752	wininit.exe	0x1cbff104a90	PROCESSOR_REVISION	ba03
752	wininit.exe	0x1cbff104a90	ProgramData	C:\ProgramData
752	wininit.exe	0x1cbff104a90	ProgramFiles	C:\Program Files
752	wininit.exe	0x1cbff104a90	ProgramFiles(x86)	C:\Program Files (x86)
752	wininit.exe	0x1cbff104a90	ProgramW6432	C:\Program Files
752	wininit.exe	0x1cbff104a90	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
752	wininit.exe	0x1cbff104a90	PUBLIC	C:\Users\Public
752	wininit.exe	0x1cbff104a90	SystemDrive	C:
752	wininit.exe	0x1cbff104a90	SystemRoot	C:\WINDOWS
752	wininit.exe	0x1cbff104a90	TEMP	C:\WINDOWS\TEMP
752	wininit.exe	0x1cbff104a90	TMP	C:\WINDOWS\TEMP
752	wininit.exe	0x1cbff104a90	USERNAME	SYSTEM
752	wininit.exe	0x1cbff104a90	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
752	wininit.exe	0x1cbff104a90	windir	C:\WINDOWS
760	csrss.exe	0x23b8a104a90	ComSpec	C:\WINDOWS\system32\cmd.exe
760	csrss.exe	0x23b8a104a90	DriverData	C:\Windows\System32\Drivers\DriverData
760	csrss.exe	0x23b8a104a90	NUMBER_OF_PROCESSORS	4
760	csrss.exe	0x23b8a104a90	OS	Windows_NT
760	csrss.exe	0x23b8a104a90	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
760	csrss.exe	0x23b8a104a90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
760	csrss.exe	0x23b8a104a90	PROCESSOR_ARCHITECTURE	AMD64
760	csrss.exe	0x23b8a104a90	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
760	csrss.exe	0x23b8a104a90	PROCESSOR_LEVEL	6
760	csrss.exe	0x23b8a104a90	PROCESSOR_REVISION	ba03
760	csrss.exe	0x23b8a104a90	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
760	csrss.exe	0x23b8a104a90	SystemDrive	C:
760	csrss.exe	0x23b8a104a90	SystemRoot	C:\WINDOWS
760	csrss.exe	0x23b8a104a90	TEMP	C:\WINDOWS\TEMP
760	csrss.exe	0x23b8a104a90	TMP	C:\WINDOWS\TEMP
760	csrss.exe	0x23b8a104a90	USERNAME	SYSTEM
760	csrss.exe	0x23b8a104a90	windir	C:\WINDOWS
824	winlogon.exe	0x23807104a90	ALLUSERSPROFILE	C:\ProgramData
824	winlogon.exe	0x23807104a90	CommonProgramFiles	C:\Program Files\Common Files
824	winlogon.exe	0x23807104a90	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
824	winlogon.exe	0x23807104a90	CommonProgramW6432	C:\Program Files\Common Files
824	winlogon.exe	0x23807104a90	COMPUTERNAME	CLEANWINDOWS11
824	winlogon.exe	0x23807104a90	ComSpec	C:\WINDOWS\system32\cmd.exe
824	winlogon.exe	0x23807104a90	DriverData	C:\Windows\System32\Drivers\DriverData
824	winlogon.exe	0x23807104a90	NUMBER_OF_PROCESSORS	4
824	winlogon.exe	0x23807104a90	OS	Windows_NT
824	winlogon.exe	0x23807104a90	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
824	winlogon.exe	0x23807104a90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
824	winlogon.exe	0x23807104a90	PROCESSOR_ARCHITECTURE	AMD64
824	winlogon.exe	0x23807104a90	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
824	winlogon.exe	0x23807104a90	PROCESSOR_LEVEL	6
824	winlogon.exe	0x23807104a90	PROCESSOR_REVISION	ba03
824	winlogon.exe	0x23807104a90	ProgramData	C:\ProgramData
824	winlogon.exe	0x23807104a90	ProgramFiles	C:\Program Files
824	winlogon.exe	0x23807104a90	ProgramFiles(x86)	C:\Program Files (x86)
824	winlogon.exe	0x23807104a90	ProgramW6432	C:\Program Files
824	winlogon.exe	0x23807104a90	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
824	winlogon.exe	0x23807104a90	PUBLIC	C:\Users\Public
824	winlogon.exe	0x23807104a90	SystemDrive	C:
824	winlogon.exe	0x23807104a90	SystemRoot	C:\WINDOWS
824	winlogon.exe	0x23807104a90	TEMP	C:\WINDOWS\TEMP
824	winlogon.exe	0x23807104a90	TMP	C:\WINDOWS\TEMP
824	winlogon.exe	0x23807104a90	USERNAME	SYSTEM
824	winlogon.exe	0x23807104a90	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
824	winlogon.exe	0x23807104a90	windir	C:\WINDOWS
896	services.exe	0x2970c1049d0	ALLUSERSPROFILE	C:\ProgramData
896	services.exe	0x2970c1049d0	CommonProgramFiles	C:\Program Files\Common Files
896	services.exe	0x2970c1049d0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
896	services.exe	0x2970c1049d0	CommonProgramW6432	C:\Program Files\Common Files
896	services.exe	0x2970c1049d0	COMPUTERNAME	CLEANWINDOWS11
896	services.exe	0x2970c1049d0	ComSpec	C:\WINDOWS\system32\cmd.exe
896	services.exe	0x2970c1049d0	DriverData	C:\Windows\System32\Drivers\DriverData
896	services.exe	0x2970c1049d0	NUMBER_OF_PROCESSORS	4
896	services.exe	0x2970c1049d0	OS	Windows_NT
896	services.exe	0x2970c1049d0	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
896	services.exe	0x2970c1049d0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
896	services.exe	0x2970c1049d0	PROCESSOR_ARCHITECTURE	AMD64
896	services.exe	0x2970c1049d0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
896	services.exe	0x2970c1049d0	PROCESSOR_LEVEL	6
896	services.exe	0x2970c1049d0	PROCESSOR_REVISION	ba03
896	services.exe	0x2970c1049d0	ProgramData	C:\ProgramData
896	services.exe	0x2970c1049d0	ProgramFiles	C:\Program Files
896	services.exe	0x2970c1049d0	ProgramFiles(x86)	C:\Program Files (x86)
896	services.exe	0x2970c1049d0	ProgramW6432	C:\Program Files
896	services.exe	0x2970c1049d0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
896	services.exe	0x2970c1049d0	PUBLIC	C:\Users\Public
896	services.exe	0x2970c1049d0	SystemDrive	C:
896	services.exe	0x2970c1049d0	SystemRoot	C:\WINDOWS
896	services.exe	0x2970c1049d0	TEMP	C:\WINDOWS\TEMP
896	services.exe	0x2970c1049d0	TMP	C:\WINDOWS\TEMP
896	services.exe	0x2970c1049d0	USERNAME	SYSTEM
896	services.exe	0x2970c1049d0	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
896	services.exe	0x2970c1049d0	windir	C:\WINDOWS
916	lsass.exe	0x1b3c11049d0	ALLUSERSPROFILE	C:\ProgramData
916	lsass.exe	0x1b3c11049d0	CommonProgramFiles	C:\Program Files\Common Files
916	lsass.exe	0x1b3c11049d0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
916	lsass.exe	0x1b3c11049d0	CommonProgramW6432	C:\Program Files\Common Files
916	lsass.exe	0x1b3c11049d0	COMPUTERNAME	CLEANWINDOWS11
916	lsass.exe	0x1b3c11049d0	ComSpec	C:\WINDOWS\system32\cmd.exe
916	lsass.exe	0x1b3c11049d0	DriverData	C:\Windows\System32\Drivers\DriverData
916	lsass.exe	0x1b3c11049d0	NUMBER_OF_PROCESSORS	4
916	lsass.exe	0x1b3c11049d0	OS	Windows_NT
916	lsass.exe	0x1b3c11049d0	Path	C:\WINDOWS\System32
