Volatility 3 Framework 2.28.1

PID	Process	SID	Name

4	System	S-1-5-18	Local System
4	System	S-1-5-32-544	Administrators
4	System	S-1-1-0	Everyone
4	System	S-1-5-11	Authenticated Users
4	System	S-1-16-16384	System Mandatory Level
136	Registry	S-1-5-18	Local System
136	Registry	S-1-5-32-544	Administrators
136	Registry	S-1-1-0	Everyone
136	Registry	S-1-5-11	Authenticated Users
136	Registry	S-1-16-16384	System Mandatory Level
468	smss.exe	S-1-5-18	Local System
468	smss.exe	S-1-5-32-544	Administrators
468	smss.exe	S-1-1-0	Everyone
468	smss.exe	S-1-5-11	Authenticated Users
468	smss.exe	S-1-16-16384	System Mandatory Level
680	csrss.exe	S-1-5-18	Local System
680	csrss.exe	S-1-5-32-544	Administrators
680	csrss.exe	S-1-1-0	Everyone
680	csrss.exe	S-1-5-11	Authenticated Users
680	csrss.exe	S-1-16-16384	System Mandatory Level
752	wininit.exe	S-1-5-18	Local System
752	wininit.exe	S-1-5-32-544	Administrators
752	wininit.exe	S-1-1-0	Everyone
752	wininit.exe	S-1-5-11	Authenticated Users
752	wininit.exe	S-1-16-16384	System Mandatory Level
760	csrss.exe	S-1-5-18	Local System
760	csrss.exe	S-1-5-32-544	Administrators
760	csrss.exe	S-1-1-0	Everyone
760	csrss.exe	S-1-5-11	Authenticated Users
760	csrss.exe	S-1-16-16384	System Mandatory Level
824	winlogon.exe	S-1-5-18	Local System
824	winlogon.exe	S-1-5-32-544	Administrators
824	winlogon.exe	S-1-1-0	Everyone
824	winlogon.exe	S-1-5-11	Authenticated Users
824	winlogon.exe	S-1-16-16384	System Mandatory Level
896	services.exe	S-1-5-18	Local System
896	services.exe	S-1-5-32-544	Administrators
896	services.exe	S-1-1-0	Everyone
896	services.exe	S-1-5-11	Authenticated Users
896	services.exe	S-1-16-16384	System Mandatory Level
916	lsass.exe	S-1-5-18	Local System
916	lsass.exe	S-1-5-32-544	Administrators
916	lsass.exe	S-1-1-0	Everyone
916	lsass.exe	S-1-5-11	Authenticated Users
916	lsass.exe	S-1-16-16384	System Mandatory Level
516	svchost.exe	S-1-5-18	Local System
516	svchost.exe	S-1-16-16384	System Mandatory Level
516	svchost.exe	S-1-1-0	Everyone
516	svchost.exe	S-1-5-32-545	Users
516	svchost.exe	S-1-5-6	Service
516	svchost.exe	S-1-5-11	Authenticated Users
516	svchost.exe	S-1-5-15	This Organization
516	svchost.exe	S-1-5-80-1988685059-1921232356-378231328-2704142597-890457928	-
516	svchost.exe	S-1-5-80-1601830629-990752416-3372939810-977361409-3075122917	DcomLaunch
516	svchost.exe	S-1-5-80-2659457741-469498900-3203170401-3149177360-3048467625	-
516	svchost.exe	S-1-5-80-1230977110-1477712667-2747199032-477530733-939374687	-
516	svchost.exe	S-1-5-80-1981970923-922788642-3535304421-2999920573-318732269	PlugPlay
