Volatility 3 Framework 2.28.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x990eee695040	0x4	Process	0x1fffff	System Pid 4
4	System	0x990eee842280	0x8	Thread	0x1fffff	Tid 64 Pid 4
4	System	0x990eee735080	0xc	Thread	0x1fffff	Tid 116 Pid 4
4	System	0x990eee845f00	0x10	Mutant	0x1f0001	BcdSyncMutant
4	System	0xe08e7c2130a0	0x14	Directory	0xf000f	GLOBAL??
4	System	0xe08e7c29fd20	0x18	Directory	0x4	CpuPartitions
4	System	0x990eee6b3f20	0x1c	Partition	0x1f0003	MemoryPartition0
4	System	0xe08e7c2b0db0	0x20	Directory	0xf000f	-
4	System	0xe08e7c2801e0	0x24	Directory	0xf000f	KernelObjects
4	System	0x990eee824e50	0x28	Event	0x1f0003	LowPagedPoolCondition
4	System	0x990eee6e8f00	0x2c	Event	0x1f0003	HighPagedPoolCondition
4	System	0x990eee813f10	0x30	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0x990eee7d1c30	0x34	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0x990eee77ce40	0x38	Event	0x1f0003	LowMemoryCondition
4	System	0x990eee77cce0	0x3c	Event	0x1f0003	HighMemoryCondition
4	System	0x990eee6a7720	0x40	Event	0x1f0003	LowCommitCondition
4	System	0x990eee6a75c0	0x44	Event	0x1f0003	HighCommitCondition
4	System	0x990eee76be20	0x48	Event	0x1f0003	MaximumCommitCondition
4	System	0x990eee842f60	0x4c	Event	0x1f0003	MemoryErrors
4	System	0x990eee842e00	0x50	Event	0x1f0003	PhysicalMemoryChange
4	System	0x990ef45168d0	0x54	File	0x12019f	\Device\Tcp
4	System	0x990eee740080	0x58	Process	0x1fffff	Registry Pid 136
4	System	0xe08e7c35a720	0x5c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xe08e7c232080	0x60	Key	0x0	-
4	System	0xe08e7cae67d0	0x64	SymbolicLink	0xf0001	SCSI#CdRom&Ven_VBOX&Prod_CD-ROM#4&2617aeae&0&020000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe08e7c5a9df0	0x68	SymbolicLink	0xf0001	ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
4	System	0x990ef25cd040	0x6c	Thread	0x1fffff	Tid 380 Pid 4
4	System	0xe08e7c2f35a0	0x70	SymbolicLink	0xf0001	DriverStores
4	System	0x990ef2757c10	0x74	TmTm	0xf003f	-
4	System	0xe08e7c340a40	0x78	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0x990ef28a8040	0x7c	Thread	0x1fffff	Tid 408 Pid 4
4	System	0xe08e7c340e80	0x80	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
