Volatility 3 Framework 2.28.1

Offset	Base	Size	Name	Path	File output

0x990eee670880	0xf804a7c00000	0x1450000	ntoskrnl.exe	\SystemRoot\system32\ntoskrnl.exe	Disabled
0x990eee653050	0xf804a9400000	0x6000	hal.dll	\SystemRoot\system32\hal.dll	Disabled
0x990eee653200	0xf80439470000	0xb000	kdcom.dll	\SystemRoot\system32\kd.dll	Disabled
0x990eee671010	0xf80437ef0000	0x372000	mcupdate.dll	\SystemRoot\system32\mcupdate_GenuineIntel.dll	Disabled
0x990eee671260	0xf80439480000	0xc000	symcryptk.dll	\SystemRoot\system32\symcryptk.dll	Disabled
0x990eee671470	0xf80439550000	0xe1000	cng.sys	\SystemRoot\System32\drivers\cng.sys	Disabled
0x990eee671690	0xf804394c0000	0x8c000	CLFS.SYS	\SystemRoot\System32\drivers\CLFS.SYS	Disabled
0x990eee672010	0xf80439490000	0x2a000	tm.sys	\SystemRoot\System32\drivers\tm.sys	Disabled
0x990eee672220	0xf80439640000	0x15000	winaccel.sys	\SystemRoot\System32\drivers\winaccel.sys	Disabled
0x990eee672440	0xf80439660000	0x1b000	PSHED.dll	\SystemRoot\system32\PSHED.dll	Disabled
0x990eee672660	0xf80439680000	0xd000	BOOTVID.dll	\SystemRoot\system32\BOOTVID.dll	Disabled
0x990eee672850	0xf804397b0000	0x94000	FLTMGR.SYS	\SystemRoot\System32\drivers\FLTMGR.SYS	Disabled
0x990eee672a90	0xf80439890000	0x65000	msrpc.sys	\SystemRoot\System32\drivers\msrpc.sys	Disabled
0x990eee672cd0	0xf80439850000	0x31000	ksecdd.sys	\SystemRoot\System32\drivers\ksecdd.sys	Disabled
0x990eee673010	0xf80439690000	0x115000	clipsp.sys	\SystemRoot\System32\drivers\clipsp.sys	Disabled
0x990eee6732c0	0xf80439900000	0x12000	cmimcext.sys	\SystemRoot\System32\drivers\cmimcext.sys	Disabled
0x990eee6734f0	0xf80439920000	0x16000	werkernel.sys	\SystemRoot\System32\drivers\werkernel.sys	Disabled
0x990eee673710	0xf80439940000	0xd000	ntosext.sys	\SystemRoot\System32\drivers\ntosext.sys	Disabled
0x990eee673920	0xf80439a20000	0x20000	watchdog.sys	\SystemRoot\System32\drivers\watchdog.sys	Disabled
0x990eee673b40	0xf80439f50000	0xd000	WMILIB.SYS	\SystemRoot\System32\drivers\WMILIB.SYS	Disabled
0x990eee674010	0xf80439a50000	0x4f2000	dxgkrnl.sys	\SystemRoot\System32\drivers\dxgkrnl.sys	Disabled
0x990eee673d50	0xf80439950000	0xc6000	win32k.sys	\SystemRoot\System32\win32k.sys	Disabled
0x990eee6742d0	0xf80439f60000	0x114000	CI.dll	\SystemRoot\system32\CI.dll	Disabled
0x990eee674520	0xf8043a080000	0x21000	globmerger.sys	\SystemRoot\System32\drivers\globmerger.sys	Disabled
0x990eee674730	0xf8043a0b0000	0xf0000	Wdf01000.sys	\SystemRoot\system32\drivers\Wdf01000.sys	Disabled
0x990eee674970	0xf8043a1d0000	0x14000	WppRecorder.sys	\SystemRoot\system32\drivers\WppRecorder.sys	Disabled
0x990eee674ba0	0xf8043a1b0000	0x17000	WDFLDR.SYS	\SystemRoot\system32\drivers\WDFLDR.SYS	Disabled
0x990eee674db0	0xf8043a1f0000	0xf000	PRM.sys	\SystemRoot\System32\DriverStore\FileRepository\prm.inf_amd64_7c38475757a1f016\PRM.sys	Disabled
0x990eee675010	0xf8043a210000	0x2a000	acpiex.sys	\SystemRoot\System32\Drivers\acpiex.sys	Disabled
0x990eee675220	0xf8043a240000	0xd6000	ACPI.sys	\SystemRoot\System32\drivers\ACPI.sys	Disabled
0x990eee675460	0xf8043a320000	0xc000	msisadrv.sys	\SystemRoot\System32\drivers\msisadrv.sys	Disabled
0x990eee675670	0xf8043a330000	0x94000	pci.sys	\SystemRoot\System32\drivers\pci.sys	Disabled
0x990eee675880	0xf8043a3d0000	0x59000	tpm.sys	\SystemRoot\System32\drivers\tpm.sys	Disabled
0x990eee675c70	0xf8043a840000	0xe000	amdwps.sys	\SystemRoot\System32\drivers\amdwps.sys	Disabled
0x990eee676010	0xf8043a860000	0x18000	WindowsTrustedRT.sys	\SystemRoot\system32\drivers\WindowsTrustedRT.sys	Disabled
0x990eee676230	0xf8043a880000	0xa4000	intelpep.sys	\SystemRoot\System32\drivers\intelpep.sys	Disabled
0x990eee676470	0xf8043a930000	0xc000	WindowsTrustedRTProxy.sys	\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys	Disabled
0x990eee6766a0	0xf8043a940000	0x13000	IntelPMT.sys	\SystemRoot\System32\drivers\IntelPMT.sys	Disabled
0x990eee6768c0	0xf8043a960000	0x17000	pcw.sys	\SystemRoot\System32\drivers\pcw.sys	Disabled
0x990eee676ac0	0xf8043a980000	0x1c000	vdrvroot.sys	\SystemRoot\System32\drivers\vdrvroot.sys	Disabled
0x990eee676cd0	0xf8043a9a0000	0x38000	pdc.sys	\SystemRoot\system32\drivers\pdc.sys	Disabled
0x990eee677010	0xf8043a9e0000	0x18000	CEA.sys	\SystemRoot\system32\drivers\CEA.sys	Disabled
0x990eee677220	0xf8043aa00000	0x35000	partmgr.sys	\SystemRoot\System32\drivers\partmgr.sys	Disabled
0x990eee677430	0xf8043aa40000	0xf8000	spaceport.sys	\SystemRoot\System32\drivers\spaceport.sys	Disabled
0x990eee677660	0xf8043ab40000	0x1e000	volmgr.sys	\SystemRoot\System32\drivers\volmgr.sys	Disabled
0x990eee677870	0xf8043ab70000	0x64000	volmgrx.sys	\SystemRoot\System32\drivers\volmgrx.sys	Disabled
0x990eee677a80	0xf8043abe0000	0x1f000	mountmgr.sys	\SystemRoot\System32\drivers\mountmgr.sys	Disabled
0x990eee677c90	0xf8043ac10000	0x37000	storahci.sys	\SystemRoot\System32\drivers\storahci.sys	Disabled
0x990eee678010	0xf8043ac50000	0x276000	storport.sys	\SystemRoot\System32\drivers\storport.sys	Disabled
0x990eee678280	0xf8043aed0000	0x26000	EhStorClass.sys	\SystemRoot\System32\drivers\EhStorClass.sys	Disabled
0x990eee678490	0xf8043af00000	0x1d000	fileinfo.sys	\SystemRoot\System32\drivers\fileinfo.sys	Disabled
0x990eee6786a0	0xf8043af20000	0x44000	Wof.sys	\SystemRoot\System32\Drivers\Wof.sys	Disabled
0x990eee6788c0	0xf8043af70000	0x9f000	WdFilter.sys	\SystemRoot\system32\drivers\wd\WdFilter.sys	Disabled
0x990eee678ad0	0xf8043b020000	0x368000	Ntfs.sys	\SystemRoot\System32\Drivers\Ntfs.sys	Disabled
0x990eee678d50	0xf8043b390000	0xf000	Fs_Rec.sys	\SystemRoot\System32\Drivers\Fs_Rec.sys	Disabled
0x990eee67a050	0xf8043b3b0000	0x1c3000	ndis.sys	\SystemRoot\system32\drivers\ndis.sys	Disabled
0x990eee67a2c0	0xf8043b580000	0xb8000	NETIO.SYS	\SystemRoot\system32\drivers\NETIO.SYS	Disabled
0x990eee67a510	0xf8043b640000	0x37000	ksecpkg.sys	\SystemRoot\System32\Drivers\ksecpkg.sys	Disabled
0x990eee67a730	0xf8043b680000	0x21000	Kerb3961Kernel.sys	\SystemRoot\System32\Drivers\Kerb3961Kernel.sys	Disabled
0x990eee67a950	0xf8043b6b0000	0x35f000	tcpip.sys	\SystemRoot\System32\drivers\tcpip.sys	Disabled
0x990eee67ac10	0xf8043ba20000	0x8b000	fwpkclnt.sys	\SystemRoot\System32\drivers\fwpkclnt.sys	Disabled
0x990eee67b010	0xf8043bab0000	0x3a000	wfplwfs.sys	\SystemRoot\System32\drivers\wfplwfs.sys	Disabled
0x990eee67b220	0xf8043baf0000	0xea000	fvevol.sys	\SystemRoot\System32\DRIVERS\fvevol.sys	Disabled
0x990eee67b460	0xf8043bbe0000	0xb000	volume.sys	\SystemRoot\System32\drivers\volume.sys	Disabled
0x990eee67b660	0xf8043bbf0000	0x82000	volsnap.sys	\SystemRoot\System32\drivers\volsnap.sys	Disabled
0x990eee67b890	0xf8043bc80000	0x4e000	rdyboost.sys	\SystemRoot\System32\drivers\rdyboost.sys	Disabled
0x990eee67bab0	0xf8043bce0000	0x1d000	nvmedisk.sys	\SystemRoot\System32\drivers\nvmedisk.sys	Disabled
0x990eee67bcc0	0xf8043bd00000	0x2b000	mup.sys	\SystemRoot\System32\Drivers\mup.sys	Disabled
0x990eee67c010	0xf8043bd30000	0x15000	iorate.sys	\SystemRoot\system32\drivers\iorate.sys	Disabled
0x990eee67c430	0xf8043bd70000	0x21000	disk.sys	\SystemRoot\System32\drivers\disk.sys	Disabled
0x990eee67c640	0xf8043bda0000	0x79000	CLASSPNP.SYS	\SystemRoot\System32\drivers\CLASSPNP.SYS	Disabled
0x990ef2610de0	0xf8043dcc0000	0x28000	crashdmp.sys	\SystemRoot\System32\Drivers\crashdmp.sys	Disabled
0x990ef2818dc0	0xf8043d430000	0x36000	cdrom.sys	\SystemRoot\System32\drivers\cdrom.sys	Disabled
0x990ef270d5b0	0xf8043d470000	0x17000	filecrypt.sys	\SystemRoot\system32\drivers\filecrypt.sys	Disabled
0x990eee744900	0xf8043d490000	0x10000	tbs.sys	\SystemRoot\system32\drivers\tbs.sys	Disabled
0x990ef279e440	0xf8043d4b0000	0xb000	Null.SYS	\SystemRoot\System32\Drivers\Null.SYS	Disabled
0x990ef245f420	0xf8043d4c0000	0xa000	Beep.SYS	\SystemRoot\System32\Drivers\Beep.SYS	Disabled
0x990ef270edd0	0xf8043d4f0000	0x1a000	BasicDisplay.sys	\SystemRoot\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_2753efdbb0d9a226\BasicDisplay.sys	Disabled
0x990ef25d1da0	0xf8043d510000	0x13000	BasicRender.sys	\SystemRoot\System32\DriverStore\FileRepository\basicrender.inf_amd64_17141d297b334aa5\BasicRender.sys	Disabled
0x990ef27582e0	0xf8043d530000	0x1c000	Npfs.SYS	\SystemRoot\System32\Drivers\Npfs.SYS	Disabled
0x990ef2473d90	0xf8043d550000	0x14000	Msfs.SYS	\SystemRoot\System32\Drivers\Msfs.SYS	Disabled
