Volatility 3 Framework 2.28.1

EntryType	Path	Company	LastModifyTime	LastModifyTime2	InstallTime	CompileTime	SHA1	Service	ProductName	ProductVersion

File	c:\windows\system32\aggregatorhost.exe	microsoft corporation	2026-05-13 18:54:34.000000 UTC	N/A	N/A	-	2f068c381ddec270a353f5046808d0c23990e21	N/A	microsoft® windows® operating system	10.0.26100.7824
File	c:\windows\system32\appidpolicyconverter.exe	microsoft corporation	2026-05-13 18:54:53.000000 UTC	N/A	N/A	-	70f87418e4c681a8d3b58641a00fc7518db9d94	N/A	microsoft® windows® operating system	10.0.26100.3037
File	c:\windows\system32\applicationframehost.exe	microsoft corporation	2026-05-13 19:03:30.000000 UTC	N/A	N/A	-	cbe3e7c2765965e841e3040fd03958674dd33c8e	N/A	microsoft® windows® operating system	10.0.26100.7309
File	c:\windows\system32\audiodg.exe	microsoft corporation	2026-05-13 19:11:27.000000 UTC	N/A	N/A	-	e7d24375edd834d46d7574cad244d88644650046	N/A	microsoft® windows® operating system	10.0.26100.8036
File	c:\windows\system32\autochk.exe	microsoft corporation	2026-05-13 18:54:13.000000 UTC	N/A	N/A	-	d19aab397bf6c4cae66a00e33164a88ab7b0f4da	N/A	microsoft® windows® operating system	10.0.26100.1
File	c:\windows\system32\cliprenew.exe	microsoft corporation	2026-05-13 18:54:30.000000 UTC	N/A	N/A	-	f45b56f7c6cdd899078a622ad49dae344ecc5417	N/A	microsoft® windows® operating system	10.0.26100.7309
File	c:\windows\system32\cmd.exe	microsoft corporation	2026-05-13 19:25:47.000000 UTC	N/A	N/A	-	e59c13fdd74e1ad950c98f905795ecdefffb8221	N/A	microsoft® windows® operating system	10.0.26100.7920
File	c:\windows\system32\conhost.exe	microsoft corporation	2026-05-13 18:54:30.000000 UTC	N/A	N/A	-	f9f3767826b405716d792f90a0cda3c455cc05a4	N/A	microsoft® windows® operating system	10.0.26100.7920
File	c:\windows\system32\consent.exe	microsoft corporation	2026-05-13 18:55:57.000000 UTC	N/A	N/A	-	2d92387270671a2079e62a47fc64252aabdced40	N/A	microsoft® windows® operating system	10.0.26100.7920
File	c:\windows\system32\csrss.exe	microsoft corporation	2026-05-13 18:54:13.000000 UTC	N/A	N/A	-	17397f105f7d51112261ecc501fe99b8fcf4de67	N/A	microsoft® windows® operating system	10.0.26100.1
File	c:\windows\system32\ctfmon.exe	microsoft corporation	2026-05-13 18:54:25.000000 UTC	N/A	N/A	-	322aa25d4fb86c20c1c043d065be1d8af3fa712f	N/A	microsoft® windows® operating system	10.0.26100.7309
