Volatility 3 Framework 2.28.1

Last Write Time	Hive Offset	Type	Key	Name	Data	Volatile

2026-05-13 19:21:42.000000 UTC	0xe08e7c290000	Key	[NONAME]	A	N/A	False
2026-05-13 19:21:49.000000 UTC	0xe08e7c290000	Key	[NONAME]	MACHINE	N/A	False
2026-05-13 19:15:30.000000 UTC	0xe08e7c290000	Key	[NONAME]	USER	N/A	False
2026-05-13 19:20:51.000000 UTC	0xe08e7c290000	Key	[NONAME]	WC	N/A	False
2024-04-01 07:26:34.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	ActivationBroker	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	ControlSet001	N/A	False
2026-05-12 18:34:22.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	DriverDatabase	N/A	False
2026-05-13 19:14:00.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	HardwareConfig	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Input	N/A	False
2024-04-01 08:06:52.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Keyboard Layout	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Maps	N/A	False
2026-05-06 05:49:49.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	MountedDevices	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	ResourceManager	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	ResourcePolicyStore	N/A	False
2026-05-13 19:20:05.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	RNG	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Select	N/A	False
2026-05-12 18:34:20.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Setup	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	Software	N/A	False
2024-04-01 07:26:32.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	State	N/A	False
2026-05-13 18:32:00.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	WaaS	N/A	False
2026-05-13 19:16:02.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	WPA	N/A	False
2026-05-13 19:14:00.000000 UTC	0xe08e7c29d000	Key	\REGISTRY\MACHINE\SYSTEM	CurrentControlSet	N/A	True
2026-05-13 19:14:01.000000 UTC	0xe08e7c364000	Key	\REGISTRY\MACHINE\HARDWARE	ACPI	N/A	False
2026-05-13 19:14:00.000000 UTC	0xe08e7c364000	Key	\REGISTRY\MACHINE\HARDWARE	DESCRIPTION	N/A	False
2026-05-13 19:14:35.000000 UTC	0xe08e7c364000	Key	\REGISTRY\MACHINE\HARDWARE	DEVICEMAP	N/A	False
2026-05-13 19:14:01.000000 UTC	0xe08e7c364000	Key	\REGISTRY\MACHINE\HARDWARE	RESOURCEMAP	N/A	True
2026-05-06 05:54:57.000000 UTC	0xe08e7c932000	Key	\SystemRoot\System32\Config\SECURITY	Policy	N/A	False
2026-05-05 21:02:42.000000 UTC	0xe08e7c932000	Key	\SystemRoot\System32\Config\SECURITY	RXACT	N/A	False
2026-05-13 19:14:27.000000 UTC	0xe08e7c932000	Key	\SystemRoot\System32\Config\SECURITY	SAM	N/A	True
2026-05-13 19:06:29.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	7-Zip	N/A	False
2026-05-05 21:07:15.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Classes	N/A	False
2024-04-01 08:09:23.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Clients	N/A	False
2024-04-01 07:26:45.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	DefaultUserEnvironment	N/A	False
2024-04-01 07:26:45.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Google	N/A	False
2024-04-01 07:26:45.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Intel	N/A	False
2026-05-13 19:15:02.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Microsoft	N/A	False
2026-05-06 05:50:47.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Mozilla	N/A	False
2024-04-01 07:26:37.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	ODBC	N/A	False
2024-04-01 07:29:03.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	Policies	N/A	False
2026-05-06 05:51:44.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	RegisteredApplications	N/A	False
2026-05-13 19:14:31.000000 UTC	0xe08e7c925000	Key	\SystemRoot\System32\Config\SOFTWARE	WOW6432Node	N/A	False
2026-05-06 05:50:47.000000 UTC	0xe08e7c92b000	Key	\SystemRoot\System32\Config\DEFAULT	Console	N/A	False
2024-04-01 08:06:52.000000 UTC	0xe08e7c92b000	Key	\SystemRoot\System32\Config\DEFAULT	Control Panel	N/A	False
