Volatility 3 Framework 2.28.1

Offset	PID	TID	StartAddress	StartPath	Win32StartAddress	Win32StartPath	CreateTime	ExitTime

0x990eee7af080	4	12	0xf804a81d7bf0	-	0xf804a81d7bf0	-	1601-01-01 00:00:03.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee76b080	4	16	0xf804a80ebf10	-	0xf804a80ebf10	-	1601-01-01 00:00:03.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee77c080	4	20	0xf804a80ebf10	-	0xf804a80ebf10	-	1601-01-01 00:00:03.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee78d080	4	24	0xf804a81d1f40	-	0xf804a81d1f40	-	1601-01-01 00:00:03.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee7e2080	4	28	0xf804a81d1f40	-	0xf804a81d1f40	-	1601-01-01 00:00:03.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee842280	4	64	0xf804a8621d40	-	0xf804a8621d40	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee813080	4	68	0xf804a825aa40	-	0xf804a825aa40	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee7d1080	4	72	0xf804a7e07cc0	-	0xf804a7e07cc0	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee824080	4	76	0xf804a81c6f50	-	0xf804a81c6f50	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee845080	4	80	0xf804a81c6f50	-	0xf804a81c6f50	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee79e080	4	84	0xf804a81c6f50	-	0xf804a81c6f50	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee855080	4	88	0xf804a81c6f50	-	0xf804a81c6f50	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee7291c0	4	92	0xf804a81c45c0	-	0xf804a81c45c0	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
0x990eee72b080	4	96	0xf804a81c4890	-	0xf804a81c4890	-	2026-05-13 19:13:58.000000 UTC	1600-08-22 23:57:23.000000 UTC
