Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build

N/A	N/A	0xf804a7c00000	ntoskrnl.exe	-	-	-	-
N/A	N/A	0xf804a9400000	hal.dll	-	-	-	-
N/A	N/A	0xf80439470000	kdcom.dll	-	-	-	-
N/A	N/A	0xf80437ef0000	mcupdate.dll	-	-	-	-
N/A	N/A	0xf80439480000	symcryptk.dll	-	-	-	-
N/A	N/A	0xf80439550000	cng.sys	-	-	-	-
N/A	N/A	0xf804394c0000	CLFS.SYS	-	-	-	-
N/A	N/A	0xf80439490000	tm.sys	-	-	-	-
N/A	N/A	0xf80439640000	winaccel.sys	-	-	-	-
N/A	N/A	0xf80439660000	PSHED.dll	-	-	-	-
N/A	N/A	0xf80439680000	BOOTVID.dll	-	-	-	-
N/A	N/A	0xf804397b0000	FLTMGR.SYS	-	-	-	-
N/A	N/A	0xf80439890000	msrpc.sys	-	-	-	-
N/A	N/A	0xf80439850000	ksecdd.sys	-	-	-	-
N/A	N/A	0xf80439690000	clipsp.sys	-	-	-	-
N/A	N/A	0xf80439900000	cmimcext.sys	-	-	-	-
N/A	N/A	0xf80439920000	werkernel.sys	-	-	-	-
N/A	N/A	0xf80439940000	ntosext.sys	-	-	-	-
N/A	N/A	0xf80439a20000	watchdog.sys	-	-	-	-
N/A	N/A	0xf80439f50000	WMILIB.SYS	-	-	-	-
N/A	N/A	0xf80439a50000	dxgkrnl.sys	-	-	-	-
N/A	N/A	0xf80439950000	win32k.sys	-	-	-	-
N/A	N/A	0xf80439f60000	CI.dll	-	-	-	-
N/A	N/A	0xf8043a080000	globmerger.sys	-	-	-	-
N/A	N/A	0xf8043a0b0000	Wdf01000.sys	-	-	-	-
N/A	N/A	0xf8043a1d0000	WppRecorder.sys	-	-	-	-
N/A	N/A	0xf8043a1b0000	WDFLDR.SYS	-	-	-	-
N/A	N/A	0xf8043a1f0000	PRM.sys	-	-	-	-
N/A	N/A	0xf8043a210000	acpiex.sys	-	-	-	-
N/A	N/A	0xf8043a240000	ACPI.sys	-	-	-	-
N/A	N/A	0xf8043a320000	msisadrv.sys	-	-	-	-
N/A	N/A	0xf8043a330000	pci.sys	-	-	-	-
N/A	N/A	0xf8043a3d0000	tpm.sys	-	-	-	-
N/A	N/A	0xf8043a840000	amdwps.sys	-	-	-	-
