Volatility 3 Framework 2.28.1

Region	Start offset	End offset

MiVaBootLoaded	0xe08000000000	0x100000000000
MiVaDriverImages	0x820000000000	0x10000000000
MiVaHal	0xf48000000000	0x10000000000
MiVaKernelShadowStacks	0xac8000000000	0x8000000000
MiVaKernelStacks	0xfa0000000000	0x8000000000
MiVaNonCachedMappings	0x850000000000	0x100000000000
MiVaNonCachedMappingsLarge	0x838000000000	0x10000000000
MiVaNonPagedPool	0xb08000000000	0x100000000000
MiVaPagedPool	0x0	0x0
MiVaPfnDatabase	0xd00000000000	0x100000000000
MiVaProcessSpace	0x990000000000	0x100000000000
MiVaSecureNonPagedPool	0x960000000000	0x8000000000
MiVaSoftWsles	0xf70000000000	0x8000000000
MiVaSystemCache	0xaa737def96c0	0x28000000000
MiVaSystemDataViews	0xf80000000000	0x8000000000
MiVaSystemPtes	0x830000000000	0x8000000000
MiVaSystemPtesLarge	0x818000000000	0x8000000000
MiVaUnused	0xc08000000000	0xc8000000000
