=== PIVOT EVIDENCE REPORT ===
Generated: 2026-06-15T08:18:27Z

=== PID 5432 (StartMenuExperienceHost.exe, ppid=516) ===
Cmdline: "C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca

--- pslist.txt ---
L84: 5432	516	StartMenuExper	0x990ef7d8c080	20	-	1	False	2026-05-13 19:15:48.000000 UTC	N/A	Disabled

--- cmdline.txt ---
L84: 5432	StartMenuExper	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca

--- privileges.txt ---
L2770: 5432	StartMenuExper	2	SeCreateTokenPrivilege		Create a token object
L2771: 5432	StartMenuExper	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
L2772: 5432	StartMenuExper	4	SeLockMemoryPrivilege		Lock pages in memory
L2773: 5432	StartMenuExper	5	SeIncreaseQuotaPrivilege		Increase quotas
L2774: 5432	StartMenuExper	6	SeMachineAccountPrivilege		Add workstations to the domain
L2775: 5432	StartMenuExper	7	SeTcbPrivilege		Act as part of the operating system
L2776: 5432	StartMenuExper	8	SeSecurityPrivilege		Manage auditing and security log
L2777: 5432	StartMenuExper	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
L2778: 5432	StartMenuExper	10	SeLoadDriverPrivilege		Load and unload device drivers
L2779: 5432	StartMenuExper	11	SeSystemProfilePrivilege		Profile system performance
L2780: 5432	StartMenuExper	12	SeSystemtimePrivilege		Change the system time
L2781: 5432	StartMenuExper	13	SeProfileSingleProcessPrivilege		Profile a single process
L2782: 5432	StartMenuExper	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
L2783: 5432	StartMenuExper	15	SeCreatePagefilePrivilege		Create a pagefile
L2784: 5432	StartMenuExper	16	SeCreatePermanentPrivilege		Create permanent shared objects
L2785: 5432	StartMenuExper	17	SeBackupPrivilege		Backup files and directories
L2786: 5432	StartMenuExper	18	SeRestorePrivilege		Restore files and directories
L2787: 5432	StartMenuExper	19	SeShutdownPrivilege	Present	Shut down the system
L2788: 5432	StartMenuExper	20	SeDebugPrivilege		Debug programs
L2789: 5432	StartMenuExper	21	SeAuditPrivilege		Generate security audits
L2790: 5432	StartMenuExper	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
L2791: 5432	StartMenuExper	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
L2792: 5432	StartMenuExper	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
L2793: 5432	StartMenuExper	25	SeUndockPrivilege	Present	Remove computer from docking station
L2794: 5432	StartMenuExper	26	SeSyncAgentPrivilege		Synch directory service data
L2795: 5432	StartMenuExper	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
L2796: 5432	StartMenuExper	28	SeManageVolumePrivilege		Manage the files on a volume
L2797: 5432	StartMenuExper	29	SeImpersonatePrivilege		Impersonate a client after authentication
L2798: 5432	StartMenuExper	30	SeCreateGlobalPrivilege	Default	Create global objects
L2799: 5432	StartMenuExper	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
L2800: 5432	StartMenuExper	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
L2801: 5432	StartMenuExper	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
L2802: 5432	StartMenuExper	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
L2803: 5432	StartMenuExper	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
L2804: 5432	StartMenuExper	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.

--- dlllist.txt ---
L3399: 5432	StartMenuExper	0x7ff7c34d0000	0x39000	StartMenuExperienceHost.exe	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3400: 5432	StartMenuExper	0x7ffff9a60000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3401: 5432	StartMenuExper	0x7ffff9560000	0xc9000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3402: 5432	StartMenuExper	0x7ffff65f0000	0x3f1000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3403: 5432	StartMenuExper	0x7ffff7890000	0x382000	combase.dll	C:\WINDOWS\System32\combase.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3404: 5432	StartMenuExper	0x7ffff6ae0000	0x14b000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3405: 5432	StartMenuExper	0x7ffff8050000	0x118000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3406: 5432	StartMenuExper	0x7fffeff40000	0x5e000	wincorlib.DLL	C:\WINDOWS\SYSTEM32\wincorlib.DLL	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3407: 5432	StartMenuExper	0x7ffff9770000	0xa9000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3408: 5432	StartMenuExper	0x7ffff50d0000	0x1b000	kernel.appcore.dll	C:\WINDOWS\SYSTEM32\kernel.appcore.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3409: 5432	StartMenuExper	0x7ffff6540000	0xa5000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3410: 5432	StartMenuExper	0x7ffff9900000	0xae000	clbcatq.dll	C:\WINDOWS\System32\clbcatq.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3411: 5432	StartMenuExper	0x7fffee7e0000	0x1107000	Windows.UI.Xaml.dll	C:\Windows\System32\Windows.UI.Xaml.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3412: 5432	StartMenuExper	0x7ffff75d0000	0xa3000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3413: 5432	StartMenuExper	0x7fffed8c0000	0x2c4000	iertutil.dll	C:\WINDOWS\SYSTEM32\iertutil.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3414: 5432	StartMenuExper	0x7ffff9820000	0xbb000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3415: 5432	StartMenuExper	0x7ffff94b0000	0xa7000	sechost.dll	C:\WINDOWS\System32\sechost.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3416: 5432	StartMenuExper	0x7fffed890000	0x29000	srvcli.dll	C:\WINDOWS\SYSTEM32\srvcli.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3417: 5432	StartMenuExper	0x7ffff49f0000	0xd000	netutils.dll	C:\WINDOWS\SYSTEM32\netutils.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3418: 5432	StartMenuExper	0x7fffedd70000	0x244000	twinapi.appcore.dll	C:\Windows\System32\twinapi.appcore.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3419: 5432	StartMenuExper	0x7ffff6340000	0x16a000	WinTypes.dll	C:\WINDOWS\System32\WinTypes.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3420: 5432	StartMenuExper	0x7ffff9630000	0xf7000	shcore.dll	C:\WINDOWS\System32\shcore.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3421: 5432	StartMenuExper	0x7fffe87c0000	0x1a000	windows.staterepositorycore.dll	C:\WINDOWS\SYSTEM32\windows.staterepositorycore.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
