=== PIVOT EVIDENCE REPORT ===
Generated: 2026-06-15T08:20:26Z

=== PID 5684 (RuntimeBroker.exe, ppid=516) ===
Cmdline: C:\Windows\System32\RuntimeBroker.exe -Embedding

--- pslist.txt ---
L87: 5684	516	RuntimeBroker.	0x990ef692c080	5	-	1	False	2026-05-13 19:15:50.000000 UTC	N/A	Disabled

--- cmdline.txt ---
L87: 5684	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding

--- privileges.txt ---
L2875: 5684	RuntimeBroker.	2	SeCreateTokenPrivilege		Create a token object
L2876: 5684	RuntimeBroker.	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
L2877: 5684	RuntimeBroker.	4	SeLockMemoryPrivilege		Lock pages in memory
L2878: 5684	RuntimeBroker.	5	SeIncreaseQuotaPrivilege		Increase quotas
L2879: 5684	RuntimeBroker.	6	SeMachineAccountPrivilege		Add workstations to the domain
L2880: 5684	RuntimeBroker.	7	SeTcbPrivilege		Act as part of the operating system
L2881: 5684	RuntimeBroker.	8	SeSecurityPrivilege		Manage auditing and security log
L2882: 5684	RuntimeBroker.	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
L2883: 5684	RuntimeBroker.	10	SeLoadDriverPrivilege		Load and unload device drivers
L2884: 5684	RuntimeBroker.	11	SeSystemProfilePrivilege		Profile system performance
L2885: 5684	RuntimeBroker.	12	SeSystemtimePrivilege		Change the system time
L2886: 5684	RuntimeBroker.	13	SeProfileSingleProcessPrivilege		Profile a single process
L2887: 5684	RuntimeBroker.	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
L2888: 5684	RuntimeBroker.	15	SeCreatePagefilePrivilege		Create a pagefile
L2889: 5684	RuntimeBroker.	16	SeCreatePermanentPrivilege		Create permanent shared objects
L2890: 5684	RuntimeBroker.	17	SeBackupPrivilege		Backup files and directories
L2891: 5684	RuntimeBroker.	18	SeRestorePrivilege		Restore files and directories
L2892: 5684	RuntimeBroker.	19	SeShutdownPrivilege	Present	Shut down the system
L2893: 5684	RuntimeBroker.	20	SeDebugPrivilege		Debug programs
L2894: 5684	RuntimeBroker.	21	SeAuditPrivilege		Generate security audits
L2895: 5684	RuntimeBroker.	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
L2896: 5684	RuntimeBroker.	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
L2897: 5684	RuntimeBroker.	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
L2898: 5684	RuntimeBroker.	25	SeUndockPrivilege	Present	Remove computer from docking station
L2899: 5684	RuntimeBroker.	26	SeSyncAgentPrivilege		Synch directory service data
L2900: 5684	RuntimeBroker.	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
L2901: 5684	RuntimeBroker.	28	SeManageVolumePrivilege		Manage the files on a volume
L2902: 5684	RuntimeBroker.	29	SeImpersonatePrivilege		Impersonate a client after authentication
L2903: 5684	RuntimeBroker.	30	SeCreateGlobalPrivilege	Default	Create global objects
L2904: 5684	RuntimeBroker.	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
L2905: 5684	RuntimeBroker.	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
L2906: 5684	RuntimeBroker.	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
L2907: 5684	RuntimeBroker.	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
L2908: 5684	RuntimeBroker.	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
L2909: 5684	RuntimeBroker.	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.

--- dlllist.txt ---
L3838: 5684	RuntimeBroker.	0x7ff7aab20000	0x1f000	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3839: 5684	RuntimeBroker.	0x7ffff9a60000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3840: 5684	RuntimeBroker.	0x7ffff9560000	0xc9000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3841: 5684	RuntimeBroker.	0x7ffff65f0000	0x3f1000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3842: 5684	RuntimeBroker.	0x7ffff6ae0000	0x14b000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3843: 5684	RuntimeBroker.	0x7ffff75d0000	0xa3000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3844: 5684	RuntimeBroker.	0x7ffff7890000	0x382000	combase.dll	C:\WINDOWS\System32\combase.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3845: 5684	RuntimeBroker.	0x7ffff8050000	0x118000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3846: 5684	RuntimeBroker.	0x7ffff50d0000	0x1b000	kernel.appcore.dll	C:\WINDOWS\SYSTEM32\kernel.appcore.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3847: 5684	RuntimeBroker.	0x7ffff9770000	0xa9000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3848: 5684	RuntimeBroker.	0x7ffff6540000	0xa5000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3849: 5684	RuntimeBroker.	0x7ffff61c0000	0x5e000	powrprof.dll	C:\WINDOWS\SYSTEM32\powrprof.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3850: 5684	RuntimeBroker.	0x7ffff61a0000	0x14000	UMPDC.dll	C:\Windows\System32\UMPDC.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3851: 5684	RuntimeBroker.	0x7ffff7c20000	0x1c5000	user32.dll	C:\WINDOWS\System32\user32.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3852: 5684	RuntimeBroker.	0x7ffff69f0000	0x27000	win32u.dll	C:\WINDOWS\System32\win32u.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3853: 5684	RuntimeBroker.	0x7ffff90f0000	0x2b000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3854: 5684	RuntimeBroker.	0x7ffff6c30000	0x12b000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3855: 5684	RuntimeBroker.	0x7ffff9730000	0x31000	IMM32.DLL	C:\WINDOWS\System32\IMM32.DLL	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3856: 5684	RuntimeBroker.	0x7ffff94b0000	0xa7000	sechost.dll	C:\WINDOWS\System32\sechost.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3857: 5684	RuntimeBroker.	0x7ffff9900000	0xae000	clbcatq.dll	C:\WINDOWS\System32\clbcatq.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3858: 5684	RuntimeBroker.	0x7fffdc860000	0x32000	Windows.Management.Workplace.dll	C:\Windows\System32\Windows.Management.Workplace.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3859: 5684	RuntimeBroker.	0x7fffe2ef0000	0x647000	windowsudk.shellcommon.dll	C:\WINDOWS\system32\windowsudk.shellcommon.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3860: 5684	RuntimeBroker.	0x7ffff6340000	0x16a000	wintypes.dll	C:\WINDOWS\System32\wintypes.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3861: 5684	RuntimeBroker.	0x7fffd6d30000	0x143000	ShellCommonCommonProxyStub.dll	C:\Windows\System32\ShellCommonCommonProxyStub.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3862: 5684	RuntimeBroker.	0x7fffeca30000	0x652000	OneCoreUAPCommonProxyStub.dll	C:\Windows\System32\OneCoreUAPCommonProxyStub.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3863: 5684	RuntimeBroker.	0x7fffe87c0000	0x1a000	windows.staterepositorycore.dll	C:\WINDOWS\SYSTEM32\windows.staterepositorycore.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3864: 5684	RuntimeBroker.	0x7ffff39c0000	0xb4000	policymanager.dll	C:\Windows\System32\policymanager.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3865: 5684	RuntimeBroker.	0x7ffff9630000	0xf7000	shcore.dll	C:\WINDOWS\System32\shcore.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3866: 5684	RuntimeBroker.	0x7ffff8f00000	0xd7000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3867: 5684	RuntimeBroker.	0x7ffff7680000	0x177000	CRYPT32.dll	C:\WINDOWS\System32\CRYPT32.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3868: 5684	RuntimeBroker.	0x7ffff5f30000	0xa000	DPAPI.DLL	C:\WINDOWS\System32\DPAPI.DLL	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3869: 5684	RuntimeBroker.	0x7ffff5920000	0xc000	CRYPTBASE.dll	C:\WINDOWS\System32\CRYPTBASE.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3870: 5684	RuntimeBroker.	0x7fffd9180000	0x54000	Windows.UI.Accessibility.dll	C:\Windows\System32\Windows.UI.Accessibility.dll	6	2026-05-13 19:15:52.000000 UTC	Disabled
L3871: 5684	RuntimeBroker.	0x7ffff6230000	0x2a000	bcrypt.dll	C:\Windows\System32\bcrypt.dll	-1	2026-05-13 19:15:52.000000 UTC	Disabled
L3872: 5684	RuntimeBroker.	0x7fffd6c10000	0x39000	rometadata.dll	C:\WINDOWS\SYSTEM32\rometadata.dll	-1	2026-05-13 19:15:52.000000 UTC	Disabled
L3873: 5684	RuntimeBroker.	0x7fffe3ee0000	0xca000	OneCoreCommonProxyStub.dll	C:\Windows\System32\OneCoreCommonProxyStub.dll	6	2026-05-13 19:15:52.000000 UTC	Disabled
L3874: 5684	RuntimeBroker.	0x7fffe55a0000	0xd6000	Windows.ApplicationModel.dll	C:\Windows\System32\Windows.ApplicationModel.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3875: 5684	RuntimeBroker.	0x7fffed300000	0x60000	usermgrproxy.dll	C:\Windows\System32\usermgrproxy.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
L3876: 5684	RuntimeBroker.	0x7fffe86a0000	0x117000	SystemSettings.DataModel.dll	C:\Windows\System32\SystemSettings.DataModel.dll	6	2026-05-13 19:15:53.000000 UTC	Disabled
