=== PIVOT EVIDENCE REPORT ===
Generated: 2026-06-15T08:47:53Z

=== PID 3860 (svchost.exe, ppid=888) ===
Cmdline: C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService

--- pslist.txt ---
L79: 3860	888	svchost.exe	0xcd8a121a0080	6	-	1	False	2026-05-12 18:23:31.000000 UTC	N/A	Disabled

--- cmdline.txt ---
L79: 3860	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService

--- privileges.txt ---
L2595: 3860	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
L2596: 3860	svchost.exe	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
L2597: 3860	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
L2598: 3860	svchost.exe	5	SeIncreaseQuotaPrivilege		Increase quotas
L2599: 3860	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
L2600: 3860	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
L2601: 3860	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
L2602: 3860	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
L2603: 3860	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
L2604: 3860	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
L2605: 3860	svchost.exe	12	SeSystemtimePrivilege		Change the system time
L2606: 3860	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
L2607: 3860	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
L2608: 3860	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
L2609: 3860	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
L2610: 3860	svchost.exe	17	SeBackupPrivilege		Backup files and directories
L2611: 3860	svchost.exe	18	SeRestorePrivilege		Restore files and directories
L2612: 3860	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
L2613: 3860	svchost.exe	20	SeDebugPrivilege		Debug programs
L2614: 3860	svchost.exe	21	SeAuditPrivilege		Generate security audits
L2615: 3860	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
L2616: 3860	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
L2617: 3860	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
L2618: 3860	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
L2619: 3860	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
L2620: 3860	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
L2621: 3860	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
L2622: 3860	svchost.exe	29	SeImpersonatePrivilege		Impersonate a client after authentication
L2623: 3860	svchost.exe	30	SeCreateGlobalPrivilege	Default	Create global objects
L2624: 3860	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
L2625: 3860	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
L2626: 3860	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
L2627: 3860	svchost.exe	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
L2628: 3860	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
L2629: 3860	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.

--- dlllist.txt ---
L3193: 3860	svchost.exe	0x7ff7c49d0000	0x13000	svchost.exe	C:\WINDOWS\system32\svchost.exe	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3194: 3860	svchost.exe	0x7fffe9120000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3195: 3860	svchost.exe	0x7fffe8570000	0xc9000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3196: 3860	svchost.exe	0x7fffe68c0000	0x3f1000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3197: 3860	svchost.exe	0x7fffe6cc0000	0x14b000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3198: 3860	svchost.exe	0x7fffe89e0000	0x382000	combase.dll	C:\WINDOWS\System32\combase.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3199: 3860	svchost.exe	0x7fffe7d60000	0x118000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3200: 3860	svchost.exe	0x7fffe4790000	0x1b000	kernel.appcore.dll	C:\WINDOWS\SYSTEM32\kernel.appcore.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3201: 3860	svchost.exe	0x7fffe8920000	0xa9000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3202: 3860	svchost.exe	0x7fffe5a00000	0xa5000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3203: 3860	svchost.exe	0x7fffe7e80000	0x1c5000	user32.dll	C:\WINDOWS\System32\user32.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3204: 3860	svchost.exe	0x7fffe5b40000	0x27000	win32u.dll	C:\WINDOWS\System32\win32u.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3205: 3860	svchost.exe	0x7fffe7d30000	0x2b000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3206: 3860	svchost.exe	0x7fffe6790000	0x12b000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3207: 3860	svchost.exe	0x7fffe6e10000	0xa3000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3208: 3860	svchost.exe	0x7fffe6ec0000	0x31000	IMM32.DLL	C:\WINDOWS\System32\IMM32.DLL	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3209: 3860	svchost.exe	0x7fffe77f0000	0xa7000	sechost.dll	C:\WINDOWS\System32\sechost.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3210: 3860	svchost.exe	0x7fffcd440000	0x1e000	wpnuserservice.dll	c:\windows\system32\wpnuserservice.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3211: 3860	svchost.exe	0x7fffd7500000	0x2c4000	iertutil.dll	c:\windows\system32\iertutil.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3212: 3860	svchost.exe	0x7fffe8310000	0xbb000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3213: 3860	svchost.exe	0x7fffe40b0000	0xd000	netutils.dll	c:\windows\system32\netutils.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
