Volatility 3 Framework 2.28.1

Type	Callback	Module	Symbol	Detail

PspLoadImageNotifyRoutine	0xf80cd8ff7e00	mfehidk	-	N/A
PspLoadImageNotifyRoutine	0xf80cd9dcad20	SysmonDrv	-	N/A
PspLoadImageNotifyRoutine	0xf80cd9924e10	ahcache	RtlStringCbVPrintfA	N/A
PspLoadImageNotifyRoutine	0xf80cd92b2470	mfeplk	-	N/A
PspCreateThreadNotifyRoutine	0xf80cd8ffacb0	mfehidk	-	N/A
PspCreateThreadNotifyRoutine	0xf80cd9dc5520	SysmonDrv	-	N/A
PspCreateThreadNotifyRoutine	0xf803826c1010	mmcss	-	N/A
PspCreateProcessNotifyRoutine	0xf80383b142f0	ntoskrnl	ViCreateProcessCallback	N/A
PspCreateProcessNotifyRoutine	0xf80cd9513d10	cng	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd8ffabf0	mfehidk	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd848be10	ksecdd	-	N/A
PspCreateProcessNotifyRoutine	0xf80cda6da0e0	tcpip	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd9dc5cd0	SysmonDrv	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd9e7c010	iorate	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd94a0c00	CI	-	N/A
PspCreateProcessNotifyRoutine	0xf80cda0f3020	dxgkrnl	-	N/A
PspCreateProcessNotifyRoutine	0xf80cd9163ed4	vm3dmp	-	N/A
PspCreateProcessNotifyRoutine	0xf8038279bbd0	peauth	-	N/A
KeBugCheckCallbackListHead	0xf80cd9c6ad60	fvevol	-	-
KeBugCheckCallbackListHead	0xf803842da700	hal	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd9f53150	crashdmp	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd88a53b0	Wdf01000	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd8912340	WppRecorder	-	-
KeBugCheckReasonCallbackListHead	0xf80cd89123a0	WppRecorder	-	-
