Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType

0xc08eaa851e60	DRV	Null	N/A	N/A	N/A
* 0xc08eaa851e60	DEV	Null	Null	N/A	FILE_DEVICE_NULL
0xc08eaa856420	DRV	PnpManager	N/A	N/A	N/A
* 0xc08eaa856420	DEV	PnpManager	0000000e	N/A	FILE_DEVICE_CONTROLLER
** 0xc08eaa856420	ATT	PnpManager	RdpBus	\Driver\rdpbus	UNKNOWN
0xc08eaa86f3a0	DRV	CNG	N/A	N/A	N/A
* 0xc08eaa86f3a0	DEV	CNG	CNG	N/A	UNKNOWN
0xc08eaa87ed10	DRV	rdyboost	N/A	N/A	N/A
* 0xc08eaa87ed10	DEV	rdyboost	-	N/A	FILE_DEVICE_DISK
** 0xc08eaa87ed10	ATT	rdyboost	-	\Driver\iorate	FILE_DEVICE_DISK
*** 0xc08eaa87ed10	ATT	rdyboost	-	\Driver\volume	FILE_DEVICE_DISK
**** 0xc08eaa87ed10	ATT	rdyboost	-	\Driver\volsnap	FILE_DEVICE_DISK
0xc08eaa881510	DRV	Mup	N/A	N/A	N/A
* 0xc08eaa881510	DEV	Mup	Mup	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
** 0xc08eaa881510	ATT	Mup	-	\FileSystem\FltMgr	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eaa8dae60	DRV	pcw	N/A	N/A	N/A
* 0xc08eaa8dae60	DEV	pcw	PcwDrv	N/A	FILE_DEVICE_UNKNOWN
0xc08eaa8db5f0	DRV	ACPI_HAL	N/A	N/A	N/A
* 0xc08eaa8db5f0	DEV	ACPI_HAL	0000000f	N/A	FILE_DEVICE_BUS_EXTENDER
** 0xc08eaa8db5f0	ATT	ACPI_HAL	-	\Driver\ACPI	FILE_DEVICE_ACPI
0xc08eaa8de1d0	DRV	bowser	N/A	N/A	N/A
* 0xc08eaa8de1d0	DEV	bowser	LanmanDatagramReceiver	N/A	FILE_DEVICE_NETWORK_BROWSER
0xc08eaa8e74a0	DRV	WMIxWDM	N/A	N/A	N/A
* 0xc08eaa8e74a0	DEV	WMIxWDM	WMIDataDevice	N/A	FILE_DEVICE_UNKNOWN
0xc08eaa8e8b20	DRV	Wdf01000	N/A	N/A	N/A
* 0xc08eaa8e8b20	DEV	Wdf01000	KMDF0	N/A	FILE_DEVICE_UNKNOWN
0xc08eaa8ebcc0	DRV	acpiex	N/A	N/A	N/A
* 0xc08eaa8ebcc0	DEV	acpiex	RESOURCE_HUB	N/A	FILE_DEVICE_UNKNOWN
0xc08eaa95ae60	DRV	SoftwareDevice	N/A	N/A	N/A
* 0xc08eaa95ae60	DEV	SoftwareDevice	00000086	N/A	FILE_DEVICE_UNKNOWN
0xc08eaa967060	DRV	vdrvroot	N/A	N/A	N/A
* 0xc08eaa967060	DEV	vdrvroot	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xc08eaa9f3e60	DRV	DeviceApi	N/A	N/A	N/A
* 0xc08eaa9f3e60	DEV	DeviceApi	DeviceApi	N/A	FILE_DEVICE_UNKNOWN
0xc08eab6e5060	DRV	CSC	N/A	N/A	N/A
* 0xc08eab6e5060	DEV	CSC	-	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eab6fab60	DRV	ahcache	N/A	N/A	N/A
* 0xc08eab6fab60	DEV	ahcache	ahcache	N/A	FILE_DEVICE_UNKNOWN
0xc08eab6fe060	DRV	NetBIOS	N/A	N/A	N/A
* 0xc08eab6fe060	DEV	NetBIOS	Netbios	N/A	FILE_DEVICE_TRANSPORT
0xc08eab71b910	DRV	MsSecFlt	N/A	N/A	N/A
* 0xc08eab71b910	DEV	MsSecFlt	MSSECFLTSYS	N/A	FILE_DEVICE_UNKNOWN
0xc08eab747690	DRV	WindowsTrustedRTProxy	N/A	N/A	N/A
0xc08eab7489c0	DRV	ACPI	N/A	N/A	N/A
* 0xc08eab7489c0	DEV	ACPI	-	N/A	FILE_DEVICE_ACPI
** 0xc08eab7489c0	ATT	ACPI	NDMP1	\Driver\vmxnet3ndis6	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eab749060	DRV	WindowsTrustedRT	N/A	N/A	N/A
* 0xc08eab749060	DEV	WindowsTrustedRT	WindowsTrustedRT	N/A	FILE_DEVICE_UNKNOWN
0xc08eab762860	DRV	intelpep	N/A	N/A	N/A
0xc08eac026210	DRV	pci	N/A	N/A	N/A
* 0xc08eac026210	DEV	pci	NTPNP_PCI0042	N/A	FILE_DEVICE_UNKNOWN
** 0xc08eac026210	ATT	pci	-	\Driver\ACPI	FILE_DEVICE_ACPI
*** 0xc08eac026210	ATT	pci	NDMP1	\Driver\vmxnet3ndis6	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eac058b00	DRV	RAW	N/A	N/A	N/A
* 0xc08eac058b00	DEV	RAW	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
** 0xc08eac058b00	ATT	RAW	-	\FileSystem\FltMgr	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eac058b50	DRV	-	N/A	N/A	N/A
* 0xc08eac058b50	DEV	-	-	N/A	UNKNOWN
0xc08eac0b38b0	DRV	pdc	N/A	N/A	N/A
* 0xc08eac0b38b0	DEV	pdc	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eac0c3b70	DRV	spaceport	N/A	N/A	N/A
* 0xc08eac0c3b70	DEV	spaceport	Spaceport	N/A	FILE_DEVICE_CONTROLLER
0xc08eac0c5e60	DRV	volmgr	N/A	N/A	N/A
* 0xc08eac0c5e60	DEV	volmgr	HarddiskVolume2	N/A	FILE_DEVICE_DISK
