Volatility 3 Framework 2.28.1

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

552	csrss.exe	0x7ff6532f0000	0x7000	csrss.exe	C:\WINDOWS\system32\csrss.exe	-1	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1e3e0000	0x1e0000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a710000	0x17000	CSRSRV.dll	C:\WINDOWS\SYSTEM32\CSRSRV.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a6f0000	0x14000	basesrv.DLL	C:\WINDOWS\system32\basesrv.DLL	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a6d0000	0x16000	winsrv.DLL	C:\WINDOWS\system32\winsrv.DLL	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1abc0000	0x266000	kernelbase.dll	C:\WINDOWS\System32\kernelbase.dll	-1	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1d9e0000	0xae000	kernel32.dll	C:\WINDOWS\System32\kernel32.dll	-1	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a6b0000	0x1f000	winsrvext.dll	C:\WINDOWS\SYSTEM32\winsrvext.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1b8b0000	0x18f000	USER32.dll	C:\WINDOWS\System32\USER32.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1ab50000	0x20000	win32u.dll	C:\WINDOWS\System32\win32u.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1d890000	0x28000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1b710000	0x193000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a7e0000	0x9b000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1aa50000	0xf6000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1dbb0000	0x308000	combase.dll	C:\WINDOWS\System32\combase.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1d8c0000	0x11f000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1b630000	0x72000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a6a0000	0xd000	sxssrv.DLL	C:\WINDOWS\system32\sxssrv.DLL	6	2021-02-03 21:51:35.000000 UTC	Disabled
552	csrss.exe	0x7ffe1a590000	0x9a000	sxs.dll	C:\WINDOWS\system32\sxs.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
652	csrss.exe	0x7ff6532f0000	0x7000	csrss.exe	C:\WINDOWS\system32\csrss.exe	-1	2021-02-03 21:51:35.000000 UTC	Disabled
652	csrss.exe	0x7ffe1e3e0000	0x1e0000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2021-02-03 21:51:35.000000 UTC	Disabled
652	csrss.exe	0x7ffe1a710000	0x17000	CSRSRV.dll	C:\WINDOWS\SYSTEM32\CSRSRV.dll	6	2021-02-03 21:51:35.000000 UTC	Disabled
652	csrss.exe	0x7ffe1a6f0000	0x14000	basesrv.DLL	C:\WINDOWS\system32\basesrv.DLL	6	2021-02-03 21:51:35.000000 UTC	Disabled
