Volatility 3 Framework 2.28.1

Cache	FileObject	FileName	Result

DataSectionObject	0xc08eab75a5b0	bootstat.dat	Error dumping file
SharedCacheMap	0xc08eab75a5b0	bootstat.dat	file.0xc08eab75a5b0.0xc08ead49ec70.SharedCacheMap.bootstat.dat-1.vacb
DataSectionObject	0xc08ead4b91b0	EtwRTUBPM.etl	Error dumping file
SharedCacheMap	0xc08ead4b91b0	EtwRTUBPM.etl	Error dumping file
DataSectionObject	0xc08ead499ef0	EtwRTEventlog-Security.etl	Error dumping file
SharedCacheMap	0xc08ead499ef0	EtwRTEventlog-Security.etl	Error dumping file
DataSectionObject	0xc08eac624b30	EtwRTDiagLog.etl	Error dumping file
SharedCacheMap	0xc08eac624b30	EtwRTDiagLog.etl	Error dumping file
DataSectionObject	0xc08eac4efef0	EtwRTEventLog-System.etl	Error dumping file
SharedCacheMap	0xc08eac4efef0	EtwRTEventLog-System.etl	Error dumping file
DataSectionObject	0xc08eaf3a6320	EtwRTEventLog-Application.etl	Error dumping file
SharedCacheMap	0xc08eaf3a6320	EtwRTEventLog-Application.etl	Error dumping file
DataSectionObject	0xc08eaf50e060	EtwRTEventLog-Microsoft-Windows-Sysmon-Operational.etl	Error dumping file
SharedCacheMap	0xc08eaf50e060	EtwRTEventLog-Microsoft-Windows-Sysmon-Operational.etl	Error dumping file
DataSectionObject	0xc08eae0b3d60	ntfs.sys.mui	Error dumping file
DataSectionObject	0xc08ead6cd840	bootstat.dat	Error dumping file
SharedCacheMap	0xc08ead6cd840	bootstat.dat	file.0xc08ead6cd840.0xc08ead49ec70.SharedCacheMap.bootstat.dat-1.vacb
DataSectionObject	0xc08eb0845680	pq	Error dumping file
SharedCacheMap	0xc08eb0845680	pq	file.0xc08eb0845680.0xc08eb0020cd0.SharedCacheMap.pq-1.vacb
DataSectionObject	0xc08eac8c33c0	ntdll.dll	file.0xc08eac8c33c0.0xc08eb32dae10.DataSectionObject.ntdll.dll-1.dat
ImageSectionObject	0xc08eac8c33c0	ntdll.dll	file.0xc08eac8c33c0.0xc08eac8974f0.ImageSectionObject.ntdll.dll-1.img
ImageSectionObject	0xc08eab6d93d0	vertdll.dll	Error dumping file
DataSectionObject	0xc08eaa872cc0	ntdll.dll	file.0xc08eaa872cc0.0xc08ead6f01d0.DataSectionObject.ntdll.dll-1.dat
ImageSectionObject	0xc08eaa872cc0	ntdll.dll	file.0xc08eaa872cc0.0xc08eab6fad10.ImageSectionObject.ntdll.dll-1.img
ImageSectionObject	0xc08eac95e750	smss.exe	file.0xc08eac95e750.0xc08eac9645e0.ImageSectionObject.smss.exe-1.img
ImageSectionObject	0xc08ead39b600	csrsrv.dll	file.0xc08ead39b600.0xc08ead6f2810.ImageSectionObject.csrsrv.dll.img
ImageSectionObject	0xc08ead6ece10	csrss.exe	file.0xc08ead6ece10.0xc08ead6bdac0.ImageSectionObject.csrss.exe.img
ImageSectionObject	0xc08ead6ebac0	winsrv.dll	file.0xc08ead6ebac0.0xc08ead6efdb0.ImageSectionObject.winsrv.dll.img
ImageSectionObject	0xc08eada006b0	sxssrv.dll	file.0xc08eada006b0.0xc08eada5ade0.ImageSectionObject.sxssrv.dll.img
ImageSectionObject	0xc08eadb03d60	sxs.dll	file.0xc08eadb03d60.0xc08eadaff590.ImageSectionObject.sxs.dll.img
ImageSectionObject	0xc08ead6ee8b0	winsrvext.dll	file.0xc08ead6ee8b0.0xc08ead77eb80.ImageSectionObject.winsrvext.dll.img
ImageSectionObject	0xc08ead4ff520	basesrv.dll	file.0xc08ead4ff520.0xc08ead6eea20.ImageSectionObject.basesrv.dll.img
DataSectionObject	0xc08eac9e1270	user32.dll	Error dumping file
ImageSectionObject	0xc08eac9e1270	user32.dll	file.0xc08eac9e1270.0xc08eae516710.ImageSectionObject.user32.dll.img
DataSectionObject	0xc08eae517430	KernelBase.dll	Error dumping file
ImageSectionObject	0xc08eae517430	KernelBase.dll	file.0xc08eae517430.0xc08eae51cdb0.ImageSectionObject.KernelBase.dll.img
DataSectionObject	0xc08eae544ef0	ucrtbase.dll	Error dumping file
ImageSectionObject	0xc08eae544ef0	ucrtbase.dll	file.0xc08eae544ef0.0xc08ead404780.ImageSectionObject.ucrtbase.dll.img
DataSectionObject	0xc08eac880a50	msvcp_win.dll	Error dumping file
ImageSectionObject	0xc08eac880a50	msvcp_win.dll	file.0xc08eac880a50.0xc08eac81d920.ImageSectionObject.msvcp_win.dll.img
DataSectionObject	0xc08eae51d690	win32u.dll	Error dumping file
ImageSectionObject	0xc08eae51d690	win32u.dll	file.0xc08eae51d690.0xc08eae52c630.ImageSectionObject.win32u.dll.img
DataSectionObject	0xc08ead3fa7f0	gdi32full.dll	Error dumping file
ImageSectionObject	0xc08ead3fa7f0	gdi32full.dll	file.0xc08ead3fa7f0.0xc08eae515130.ImageSectionObject.gdi32full.dll.img
DataSectionObject	0xc08eacf2aef0	bcryptprimitives.dll	Error dumping file
ImageSectionObject	0xc08eacf2aef0	bcryptprimitives.dll	file.0xc08eacf2aef0.0xc08ead3fa550.ImageSectionObject.bcryptprimitives.dll.img
DataSectionObject	0xc08eac9cae60	kernel32.dll	Error dumping file
ImageSectionObject	0xc08eac9cae60	kernel32.dll	file.0xc08eac9cae60.0xc08eac9cbde0.ImageSectionObject.kernel32.dll.img
DataSectionObject	0xc08eac9c0510	gdi32.dll	Error dumping file
