Volatility 3 Framework 2.28.1

PID	Process	Block	Variable	Value

392	smss.exe	0x29a02402940	Path	C:\WINDOWS\System32
392	smss.exe	0x29a02402940	SystemDrive	C:
392	smss.exe	0x29a02402940	SystemRoot	C:\WINDOWS
552	csrss.exe	0x2ae2d502f10	ComSpec	C:\WINDOWS\system32\cmd.exe
552	csrss.exe	0x2ae2d502f10	DEFLOGDIR	C:\ProgramData\McAfee\DesktopProtection
552	csrss.exe	0x2ae2d502f10	NUMBER_OF_PROCESSORS	2
552	csrss.exe	0x2ae2d502f10	OS	Windows_NT
552	csrss.exe	0x2ae2d502f10	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\
552	csrss.exe	0x2ae2d502f10	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
552	csrss.exe	0x2ae2d502f10	PROCESSOR_ARCHITECTURE	AMD64
552	csrss.exe	0x2ae2d502f10	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 85 Stepping 4, GenuineIntel
552	csrss.exe	0x2ae2d502f10	PROCESSOR_LEVEL	6
552	csrss.exe	0x2ae2d502f10	PROCESSOR_REVISION	5504
552	csrss.exe	0x2ae2d502f10	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
552	csrss.exe	0x2ae2d502f10	SystemDrive	C:
552	csrss.exe	0x2ae2d502f10	SystemRoot	C:\WINDOWS
552	csrss.exe	0x2ae2d502f10	TEMP	C:\WINDOWS\TEMP
552	csrss.exe	0x2ae2d502f10	TMP	C:\WINDOWS\TEMP
552	csrss.exe	0x2ae2d502f10	USERNAME	SYSTEM
552	csrss.exe	0x2ae2d502f10	VSEDEFLOGDIR	C:\ProgramData\McAfee\DesktopProtection
552	csrss.exe	0x2ae2d502f10	windir	C:\WINDOWS
652	csrss.exe	0x1f65c602f10	ComSpec	C:\WINDOWS\system32\cmd.exe
652	csrss.exe	0x1f65c602f10	DEFLOGDIR	C:\ProgramData\McAfee\DesktopProtection
