Volatility 3 Framework 2.28.1

PID	Process	SID	Name

4	System	S-1-5-18	Local System
4	System	S-1-5-32-544	Administrators
4	System	S-1-1-0	Everyone
4	System	S-1-5-11	Authenticated Users
4	System	S-1-16-16384	System Mandatory Level
392	smss.exe	S-1-5-18	Local System
392	smss.exe	S-1-5-32-544	Administrators
392	smss.exe	S-1-1-0	Everyone
392	smss.exe	S-1-5-11	Authenticated Users
392	smss.exe	S-1-16-16384	System Mandatory Level
540	smss.exe	S-1-5-18	Local System
540	smss.exe	S-1-5-32-544	Administrators
540	smss.exe	S-1-1-0	Everyone
540	smss.exe	S-1-5-11	Authenticated Users
540	smss.exe	S-1-16-16384	System Mandatory Level
552	csrss.exe	S-1-5-18	Local System
552	csrss.exe	S-1-5-32-544	Administrators
552	csrss.exe	S-1-1-0	Everyone
552	csrss.exe	S-1-5-11	Authenticated Users
552	csrss.exe	S-1-16-16384	System Mandatory Level
636	smss.exe	S-1-5-18	Local System
636	smss.exe	S-1-5-32-544	Administrators
636	smss.exe	S-1-1-0	Everyone
636	smss.exe	S-1-5-11	Authenticated Users
636	smss.exe	S-1-16-16384	System Mandatory Level
644	wininit.exe	S-1-5-18	Local System
644	wininit.exe	S-1-5-32-544	Administrators
644	wininit.exe	S-1-1-0	Everyone
644	wininit.exe	S-1-5-11	Authenticated Users
644	wininit.exe	S-1-16-16384	System Mandatory Level
652	csrss.exe	S-1-5-18	Local System
652	csrss.exe	S-1-5-32-544	Administrators
652	csrss.exe	S-1-1-0	Everyone
652	csrss.exe	S-1-5-11	Authenticated Users
652	csrss.exe	S-1-16-16384	System Mandatory Level
740	winlogon.exe	S-1-5-18	Local System
740	winlogon.exe	S-1-5-32-544	Administrators
740	winlogon.exe	S-1-1-0	Everyone
740	winlogon.exe	S-1-5-11	Authenticated Users
740	winlogon.exe	S-1-16-16384	System Mandatory Level
776	services.exe	S-1-5-18	Local System
776	services.exe	S-1-5-32-544	Administrators
776	services.exe	S-1-1-0	Everyone
776	services.exe	S-1-5-11	Authenticated Users
776	services.exe	S-1-16-16384	System Mandatory Level
788	lsass.exe	S-1-5-18	Local System
788	lsass.exe	S-1-5-32-544	Administrators
788	lsass.exe	S-1-1-0	Everyone
788	lsass.exe	S-1-5-11	Authenticated Users
788	lsass.exe	S-1-16-16384	System Mandatory Level
876	svchost.exe	S-1-5-18	Local System
876	svchost.exe	S-1-16-16384	System Mandatory Level
876	svchost.exe	S-1-1-0	Everyone
876	svchost.exe	S-1-5-32-545	Users
876	svchost.exe	S-1-5-6	Service
876	svchost.exe	S-1-5-11	Authenticated Users
876	svchost.exe	S-1-5-15	This Organization
876	svchost.exe	S-1-5-80-1988685059-1921232356-378231328-2704142597-890457928	-
876	svchost.exe	S-1-5-80-1601830629-990752416-3372939810-977361409-3075122917	DcomLaunch
