Volatility 3 Framework 2.28.1

Last Write Time	Hive Offset	Type	Key	Name	Data	Volatile

2021-09-15 17:48:36.000000 UTC	0xaf8849e28000	Key	[NONAME]	A	N/A	False
2021-09-16 00:01:02.000000 UTC	0xaf8849e28000	Key	[NONAME]	MACHINE	N/A	False
2021-08-02 08:02:23.000000 UTC	0xaf8849e28000	Key	[NONAME]	USER	N/A	False
2021-02-03 21:51:23.000000 UTC	0xaf8849e28000	Key	[NONAME]	WC	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	ActivationBroker	N/A	False
2018-05-04 18:15:09.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	ControlSet001	N/A	False
2018-07-26 17:40:58.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	DriverDatabase	N/A	False
2021-02-03 21:51:23.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	HardwareConfig	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	Input	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	Maps	N/A	False
2018-05-07 15:23:41.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	MountedDevices	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	ResourceManager	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	ResourcePolicyStore	N/A	False
2021-02-03 21:51:23.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	RNG	N/A	False
2018-05-04 18:15:08.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	Select	N/A	False
2021-02-05 09:00:03.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	Setup	N/A	False
2021-09-15 17:49:14.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	WPA	N/A	False
2021-02-03 21:51:23.000000 UTC	0xaf8849e42000	Key	\REGISTRY\MACHINE\SYSTEM	CurrentControlSet	N/A	True
2021-02-03 21:51:23.000000 UTC	0xaf8849e5b000	Key	\REGISTRY\MACHINE\HARDWARE	ACPI	N/A	False
2021-02-03 21:51:23.000000 UTC	0xaf8849e5b000	Key	\REGISTRY\MACHINE\HARDWARE	DESCRIPTION	N/A	False
